,State,Year,Quarter,Name,Amount,Trans_count
84,Andaman & Nicobar Islands,2022,1,Others,2440321.9820225406,2643
85,Andaman & Nicobar Islands,2022,2,Merchant payments,510838980.9061847,449540
86,Andaman & Nicobar Islands,2022,2,Peer-to-peer payments,2088309073.4552848,437606
87,Andaman & Nicobar Islands,2022,2,Recharge & bill payments,82232936.61795366,179515
88,Andaman & Nicobar Islands,2022,2,Financial Services,2089862.3927160464,1448
89,Andaman & Nicobar Islands,2022,2,Others,2449496.7081265687,3108
90,Andaman & Nicobar Islands,2022,3,Merchant payments,693438186.296541,716105
91,Andaman & Nicobar Islands,2022,3,Peer-to-peer payments,2514535154.56483,622217
92,Andaman & Nicobar Islands,2022,3,Recharge & bill payments,97748065.62714244,240766
93,Andaman & Nicobar Islands,2022,3,Financial Services,2166304.9779766416,1814
94,Andaman & Nicobar Islands,2022,3,Others,2744060.670897343,3477
95,Andaman & Nicobar Islands,2022,4,Merchant payments,906365300.6585041,956536
96,Andaman & Nicobar Islands,2022,4,Peer-to-peer payments,2961630584.8271313,768758
97,Andaman & Nicobar Islands,2022,4,Recharge & bill payments,110037119.66941178,256050
98,Andaman & Nicobar Islands,2022,4,Financial Services,3533987.2301130476,2499
99,Andaman & Nicobar Islands,2022,4,Others,3107412.043626394,3692
100,Andaman & Nicobar Islands,2023,1,Merchant payments,1008821751.0,1122063
101,Andaman & Nicobar Islands,2023,1,Peer-to-peer payments,3299762230.0,862347
102,Andaman & Nicobar Islands,2023,1,Recharge & bill payments,146338470.0,286024
103,Andaman & Nicobar Islands,2023,1,Financial Services,3556954.0,2515
104,Andaman & Nicobar Islands,2023,1,Others,3049182.0,3443
105,Andaman & Nicobar Islands,2023,2,Merchant payments,1159905474.0,1410653
106,Andaman & Nicobar Islands,2023,2,Peer-to-peer payments,3664415887.0,970525
107,Andaman & Nicobar Islands,2023,2,Recharge & bill payments,158455723.0,320922
108,Andaman & Nicobar Islands,2023,2,Financial Services,4161814.0,2158
109,Andaman & Nicobar Islands,2023,2,Others,3405338.0,3517
110,Andaman & Nicobar Islands,2023,3,Merchant payments,1289780198.0,1657848
111,Andaman & Nicobar Islands,2023,3,Peer-to-peer payments,3757627272.0,1111211
112,Andaman & Nicobar Islands,2023,3,Recharge & bill payments,157992380.0,323935
113,Andaman & Nicobar Islands,2023,3,Financial Services,3850023.0,2199
114,Andaman & Nicobar Islands,2023,3,Others,2346918.0,3183
115,Andaman & Nicobar Islands,2023,4,Merchant payments,1653303276.0,2039888
116,Andaman & Nicobar Islands,2023,4,Peer-to-peer payments,4420459049.0,1321796
117,Andaman & Nicobar Islands,2023,4,Recharge & bill payments,185028400.0,327460
118,Andaman & Nicobar Islands,2023,4,Financial Services,7836466.0,3276
119,Andaman & Nicobar Islands,2023,4,Others,2925308.0,3363
120,Andhra Pradesh,2018,1,Recharge & bill payments,892293975.6698562,5027448
121,Andhra Pradesh,2018,1,Peer-to-peer payments,10524250283.178782,3049646
122,Andhra Pradesh,2018,1,Merchant payments,247297640.24000686,362672
123,Andhra Pradesh,2018,1,Financial Services,44808449.7639544,204305
124,Andhra Pradesh,2018,1,Others,287626042.970705,395514
125,Andhra Pradesh,2018,2,Recharge & bill payments,1598591488.4880352,6456387
126,Andhra Pradesh,2018,2,Peer-to-peer payments,20451493098.8953,4745000
127,Andhra Pradesh,2018,2,Merchant payments,436785223.86032957,604847
128,Andhra Pradesh,2018,2,Financial Services,68952114.81374599,225621
129,Andhra Pradesh,2018,2,Others,328092346.575651,322063
130,Andhra Pradesh,2018,3,Peer-to-peer payments,32738630444.668724,16129591
131,Andhra Pradesh,2018,3,Recharge & bill payments,1949098146.8941927,7542005
132,Andhra Pradesh,2018,3,Merchant payments,685277254.5076212,1225416
133,Andhra Pradesh,2018,3,Financial Services,60790077.57437308,380324
134,Andhra Pradesh,2018,3,Others,284248675.5700202,348725
135,Andhra Pradesh,2018,4,Peer-to-peer payments,47011639726.13608,17580086
136,Andhra Pradesh,2018,4,Recharge & bill payments,2418164314.470957,9767083
137,Andhra Pradesh,2018,4,Merchant payments,1671585888.568256,2622131
138,Andhra Pradesh,2018,4,Financial Services,57178116.40322068,400837
139,Andhra Pradesh,2018,4,Others,315211361.26249415,389411
140,Andhra Pradesh,2019,1,Peer-to-peer payments,77524329742.2595,37420988
141,Andhra Pradesh,2019,1,Recharge & bill payments,3480641602.3771377,14022264
142,Andhra Pradesh,2019,1,Merchant payments,2423536770.3706346,5043682
143,Andhra Pradesh,2019,1,Financial Services,47150177.52982048,416325
144,Andhra Pradesh,2019,1,Others,284937624.5393019,361263
145,Andhra Pradesh,2019,2,Peer-to-peer payments,103924649232.47021,32494402
146,Andhra Pradesh,2019,2,Recharge & bill payments,4708345387.9101095,14093964
147,Andhra Pradesh,2019,2,Merchant payments,4613405202.681959,9226537
148,Andhra Pradesh,2019,2,Financial Services,26626696.771042537,145310
149,Andhra Pradesh,2019,2,Others,361492238.3966455,448802
150,Andhra Pradesh,2019,3,Peer-to-peer payments,124338645329.51532,39023491
151,Andhra Pradesh,2019,3,Recharge & bill payments,6893984676.598906,20147629
152,Andhra Pradesh,2019,3,Merchant payments,7887394038.066369,16581787
153,Andhra Pradesh,2019,3,Financial Services,29778183.027080443,122270
154,Andhra Pradesh,2019,3,Others,298142027.58625776,413437
155,Andhra Pradesh,2019,4,Peer-to-peer payments,178893550050.68753,57181511
156,Andhra Pradesh,2019,4,Merchant payments,13476303367.50486,25122370
157,Andhra Pradesh,2019,4,Recharge & bill payments,8335168605.691999,24469888
158,Andhra Pradesh,2019,4,Financial Services,26796571.745749153,105662
159,Andhra Pradesh,2019,4,Others,216496893.16102877,338672
160,Andhra Pradesh,2020,1,Peer-to-peer payments,223088554055.04755,65452143
161,Andhra Pradesh,2020,1,Merchant payments,18603161784.496994,31408022
162,Andhra Pradesh,2020,1,Recharge & bill payments,10813530777.973532,30449644
163,Andhra Pradesh,2020,1,Financial Services,43739133.169823855,75238
164,Andhra Pradesh,2020,1,Others,188228538.37489766,292310
165,Andhra Pradesh,2020,2,Peer-to-peer payments,262731724130.7907,73609921
166,Andhra Pradesh,2020,2,Recharge & bill payments,16991006436.573467,41013987
167,Andhra Pradesh,2020,2,Merchant payments,22625596525.44269,29976765
168,Andhra Pradesh,2020,2,Financial Services,145274999.15679634,140941
169,Andhra Pradesh,2020,2,Others,90087654.60009979,176241
170,Andhra Pradesh,2020,3,Peer-to-peer payments,406461788252.32056,106791894
171,Andhra Pradesh,2020,3,Merchant payments,40739580213.86052,54055557
172,Andhra Pradesh,2020,3,Recharge & bill payments,19475104674.827175,43500067
173,Andhra Pradesh,2020,3,Financial Services,256074924.7187529,243088
174,Andhra Pradesh,2020,3,Others,151582519.18136686,312329
175,Andhra Pradesh,2020,4,Peer-to-peer payments,566639138543.7708,152003791
176,Andhra Pradesh,2020,4,Merchant payments,66654048149.95168,86581460
177,Andhra Pradesh,2020,4,Recharge & bill payments,20936337211.557747,46810304
178,Andhra Pradesh,2020,4,Financial Services,305168772.45601684,265470
179,Andhra Pradesh,2020,4,Others,306853355.59473807,457527
180,Andhra Pradesh,2021,1,Peer-to-peer payments,580542193013.0018,149313738
181,Andhra Pradesh,2021,1,Merchant payments,70813192713.43477,97920281
182,Andhra Pradesh,2021,1,Recharge & bill payments,20546424964.14482,41940689
183,Andhra Pradesh,2021,1,Financial Services,270313028.48452014,225355
184,Andhra Pradesh,2021,1,Others,272546457.5502677,347907
185,Andhra Pradesh,2021,2,Peer-to-peer payments,737004484057.439,189614879
186,Andhra Pradesh,2021,2,Merchant payments,88512429436.91248,112875274
187,Andhra Pradesh,2021,2,Recharge & bill payments,24646800345.106976,49626902
188,Andhra Pradesh,2021,2,Financial Services,265483044.40124667,243237
189,Andhra Pradesh,2021,2,Others,308302224.3856007,406842
190,Andhra Pradesh,2021,3,Peer-to-peer payments,837841124664.307,221280317
191,Andhra Pradesh,2021,3,Merchant payments,118164377968.16754,158290953
192,Andhra Pradesh,2021,3,Recharge & bill payments,27511344958.24361,51702350
193,Andhra Pradesh,2021,3,Financial Services,297239697.83073866,211171
194,Andhra Pradesh,2021,3,Others,403948275.56756073,547759
195,Andhra Pradesh,2021,4,Peer-to-peer payments,971269765249.1282,262006450
196,Andhra Pradesh,2021,4,Merchant payments,152883933596.5386,207538904
197,Andhra Pradesh,2021,4,Recharge & bill payments,31232784713.985794,51762842
198,Andhra Pradesh,2021,4,Financial Services,332740108.6635881,243951
199,Andhra Pradesh,2021,4,Others,545223415.6638832,701856
200,Andhra Pradesh,2022,1,Peer-to-peer payments,1089629182596.4781,288488560
201,Andhra Pradesh,2022,1,Merchant payments,169419685917.19562,242031836
202,Andhra Pradesh,2022,1,Recharge & bill payments,34473036841.83001,51224170
203,Andhra Pradesh,2022,1,Financial Services,324358965.11859065,231651
204,Andhra Pradesh,2022,1,Others,474382234.25397474,627694
205,Andhra Pradesh,2022,2,Peer-to-peer payments,1231408926513.7114,321362337
206,Andhra Pradesh,2022,2,Merchant payments,205433660654.20898,292530048
207,Andhra Pradesh,2022,2,Recharge & bill payments,42408541939.06145,56606969
208,Andhra Pradesh,2022,2,Financial Services,245783011.04455262,192751
209,Andhra Pradesh,2022,2,Others,357036084.9071137,441925
210,Andhra Pradesh,2022,3,Peer-to-peer payments,1140164525892.7397,298804000
211,Andhra Pradesh,2022,3,Merchant payments,202910820650.0824,291033653
212,Andhra Pradesh,2022,3,Recharge & bill payments,41438764826.20322,52467708
213,Andhra Pradesh,2022,3,Financial Services,239347241.54655045,187190
214,Andhra Pradesh,2022,3,Others,323951101.5715289,362484
215,Andhra Pradesh,2022,4,Merchant payments,211898851397.09848,321632104
216,Andhra Pradesh,2022,4,Peer-to-peer payments,1170249585983.0112,315734006
217,Andhra Pradesh,2022,4,Recharge & bill payments,41986837706.47902,52098850
218,Andhra Pradesh,2022,4,Financial Services,250596592.06465048,206459
219,Andhra Pradesh,2022,4,Others,339211363.0027188,345658
220,Andhra Pradesh,2023,1,Merchant payments,311606731877.0,540680395
221,Andhra Pradesh,2023,1,Peer-to-peer payments,1857818168755.0,514931308
222,Andhra Pradesh,2023,1,Recharge & bill payments,78817989795.0,89143939
223,Andhra Pradesh,2023,1,Financial Services,331233097.0,288150
224,Andhra Pradesh,2023,1,Others,477193006.0,488672
225,Andhra Pradesh,2023,2,Merchant payments,349602824539.0,634303064
226,Andhra Pradesh,2023,2,Peer-to-peer payments,2067288068882.0,573455382
227,Andhra Pradesh,2023,2,Recharge & bill payments,88352183038.0,97202487
228,Andhra Pradesh,2023,2,Financial Services,386071375.0,316533
229,Andhra Pradesh,2023,2,Others,409939082.0,379498
230,Andhra Pradesh,2023,3,Merchant payments,395042164275.0,750265405
231,Andhra Pradesh,2023,3,Peer-to-peer payments,2163464730936.0,623202203
232,Andhra Pradesh,2023,3,Recharge & bill payments,94077774967.0,101000645
233,Andhra Pradesh,2023,3,Financial Services,466791218.0,361584
234,Andhra Pradesh,2023,3,Others,362636702.0,334566
235,Andhra Pradesh,2023,4,Merchant payments,427677236042.0,822516631
236,Andhra Pradesh,2023,4,Peer-to-peer payments,2270766948881.0,673002314
237,Andhra Pradesh,2023,4,Recharge & bill payments,103186953776.0,100733697
238,Andhra Pradesh,2023,4,Financial Services,535202901.0,431705
239,Andhra Pradesh,2023,4,Others,348636223.0,303079
240,Arunachal Pradesh,2018,1,Recharge & bill payments,5184132.514934338,28729
241,Arunachal Pradesh,2018,1,Peer-to-peer payments,82889682.72418305,13320
242,Arunachal Pradesh,2018,1,Merchant payments,2420374.1905855755,1042
243,Arunachal Pradesh,2018,1,Financial Services,58893.76201533088,416
244,Arunachal Pradesh,2018,1,Others,1834252.8176908877,1990
245,Arunachal Pradesh,2018,2,Recharge & bill payments,10468878.537107183,50700
246,Arunachal Pradesh,2018,2,Peer-to-peer payments,181576281.19464755,26477
247,Arunachal Pradesh,2018,2,Merchant payments,4718953.439561011,2378
248,Arunachal Pradesh,2018,2,Financial Services,363761.80159549194,559
249,Arunachal Pradesh,2018,2,Others,1842317.3691352482,2043
250,Arunachal Pradesh,2018,3,Recharge & bill payments,15997565.906016497,74122
251,Arunachal Pradesh,2018,3,Peer-to-peer payments,308106303.45342577,49740
252,Arunachal Pradesh,2018,3,Merchant payments,5505694.567913429,4738
253,Arunachal Pradesh,2018,3,Financial Services,72133.845254878,507
254,Arunachal Pradesh,2018,3,Others,2044708.9687807972,2039
255,Arunachal Pradesh,2018,4,Recharge & bill payments,20662691.882313278,97751
256,Arunachal Pradesh,2018,4,Peer-to-peer payments,468831493.2328036,68169
257,Arunachal Pradesh,2018,4,Merchant payments,11998974.1040326,7726
258,Arunachal Pradesh,2018,4,Financial Services,100597.90379906222,561
259,Arunachal Pradesh,2018,4,Others,2446271.9688117937,2222
260,Arunachal Pradesh,2019,1,Recharge & bill payments,26796894.998233315,121303
261,Arunachal Pradesh,2019,1,Peer-to-peer payments,568554821.4456317,93494
262,Arunachal Pradesh,2019,1,Merchant payments,11727218.401334248,9214
263,Arunachal Pradesh,2019,1,Financial Services,140622.87093631705,256
264,Arunachal Pradesh,2019,1,Others,2730548.5978140826,2239
265,Arunachal Pradesh,2019,2,Recharge & bill payments,30420803.41271234,131988
266,Arunachal Pradesh,2019,2,Peer-to-peer payments,704237943.4054435,106527
267,Arunachal Pradesh,2019,2,Merchant payments,13955724.130712911,16828
268,Arunachal Pradesh,2019,2,Financial Services,160660.8821362781,267
269,Arunachal Pradesh,2019,2,Others,3880742.524023137,3046
270,Arunachal Pradesh,2019,3,Recharge & bill payments,50946104.94289842,216228
271,Arunachal Pradesh,2019,3,Peer-to-peer payments,841037395.2474606,133484
272,Arunachal Pradesh,2019,3,Merchant payments,17178248.07427002,16900
273,Arunachal Pradesh,2019,3,Financial Services,64089.11350267195,864
274,Arunachal Pradesh,2019,3,Others,3419197.4177385764,2758
275,Arunachal Pradesh,2019,4,Recharge & bill payments,63516906.09060433,259183
276,Arunachal Pradesh,2019,4,Peer-to-peer payments,1100137447.9340453,177833
277,Arunachal Pradesh,2019,4,Merchant payments,23192271.691576812,19769
278,Arunachal Pradesh,2019,4,Financial Services,305379.7987782319,314
279,Arunachal Pradesh,2019,4,Others,3421174.01227797,2376
280,Arunachal Pradesh,2020,1,Recharge & bill payments,86011654.77474582,329834
281,Arunachal Pradesh,2020,1,Peer-to-peer payments,1263912288.4066367,203429
282,Arunachal Pradesh,2020,1,Merchant payments,28553052.133918796,31181
283,Arunachal Pradesh,2020,1,Financial Services,337812.94816169393,470
284,Arunachal Pradesh,2020,1,Others,2943873.0666838237,2261
285,Arunachal Pradesh,2020,2,Recharge & bill payments,145198528.22961134,522495
286,Arunachal Pradesh,2020,2,Peer-to-peer payments,1630654426.0441835,247861
287,Arunachal Pradesh,2020,2,Merchant payments,46446966.612447515,35169
288,Arunachal Pradesh,2020,2,Financial Services,2655507.6964110374,1310
289,Arunachal Pradesh,2020,2,Others,1761404.4023099935,1939
290,Arunachal Pradesh,2020,3,Recharge & bill payments,153463816.21184397,514907
291,Arunachal Pradesh,2020,3,Peer-to-peer payments,2361603431.37578,370418
292,Arunachal Pradesh,2020,3,Merchant payments,88145178.69272713,72736
293,Arunachal Pradesh,2020,3,Financial Services,4030599.9171272423,1761
294,Arunachal Pradesh,2020,3,Others,2695539.3607389224,3005
295,Arunachal Pradesh,2020,4,Peer-to-peer payments,3254744938.4105625,522019
296,Arunachal Pradesh,2020,4,Recharge & bill payments,152389181.21743062,513895
297,Arunachal Pradesh,2020,4,Merchant payments,156682926.02384603,167387
298,Arunachal Pradesh,2020,4,Financial Services,2391651.8783250954,1749
299,Arunachal Pradesh,2020,4,Others,4055324.315454754,4079
300,Arunachal Pradesh,2021,1,Peer-to-peer payments,3460488558.9436507,566209
301,Arunachal Pradesh,2021,1,Recharge & bill payments,142358376.9003836,450649
302,Arunachal Pradesh,2021,1,Merchant payments,204958020.0891498,155966
303,Arunachal Pradesh,2021,1,Financial Services,2672460.4740365944,1558
304,Arunachal Pradesh,2021,1,Others,3301662.6094231335,3074
305,Arunachal Pradesh,2021,2,Peer-to-peer payments,4000960152.0755496,762946
306,Arunachal Pradesh,2021,2,Recharge & bill payments,165579844.25105897,556680
307,Arunachal Pradesh,2021,2,Merchant payments,283709438.5363142,243375
308,Arunachal Pradesh,2021,2,Financial Services,2761076.7934988844,1582
309,Arunachal Pradesh,2021,2,Others,3415105.3379601175,3755
310,Arunachal Pradesh,2021,3,Peer-to-peer payments,5033603845.032885,986088
311,Arunachal Pradesh,2021,3,Recharge & bill payments,187390578.30403775,600102
312,Arunachal Pradesh,2021,3,Merchant payments,449869060.7842621,314658
313,Arunachal Pradesh,2021,3,Financial Services,3348547.8272713376,1934
314,Arunachal Pradesh,2021,3,Others,3912143.3503634185,4185
315,Arunachal Pradesh,2021,4,Peer-to-peer payments,6022733378.120082,1227616
316,Arunachal Pradesh,2021,4,Recharge & bill payments,207784816.33218512,633248
317,Arunachal Pradesh,2021,4,Merchant payments,704195694.9939187,521447
318,Arunachal Pradesh,2021,4,Financial Services,3933557.2795471298,2386
319,Arunachal Pradesh,2021,4,Others,4862905.885615055,5901
320,Arunachal Pradesh,2022,1,Peer-to-peer payments,6670641250.45945,1403584
321,Arunachal Pradesh,2022,1,Merchant payments,917155358.7177179,720803
322,Arunachal Pradesh,2022,1,Recharge & bill payments,231933129.00412333,670576
323,Arunachal Pradesh,2022,1,Financial Services,3359625.792926075,3053
324,Arunachal Pradesh,2022,1,Others,5002264.113148138,6052
325,Arunachal Pradesh,2022,2,Peer-to-peer payments,7627061474.687715,1751568
326,Arunachal Pradesh,2022,2,Merchant payments,1255513517.3639429,1108353
327,Arunachal Pradesh,2022,2,Recharge & bill payments,241162643.19480157,688770
328,Arunachal Pradesh,2022,2,Financial Services,4063469.0998270046,2466
329,Arunachal Pradesh,2022,2,Others,3864269.879579009,5768
330,Arunachal Pradesh,2022,3,Peer-to-peer payments,7365427284.274204,1967086
331,Arunachal Pradesh,2022,3,Merchant payments,1413247143.4889917,1316326
332,Arunachal Pradesh,2022,3,Recharge & bill payments,238448083.80779752,649322
333,Arunachal Pradesh,2022,3,Financial Services,4763324.776043448,1997
334,Arunachal Pradesh,2022,3,Others,3224948.7015704075,4687
335,Arunachal Pradesh,2022,4,Peer-to-peer payments,7768088687.67791,2251135
336,Arunachal Pradesh,2022,4,Merchant payments,1669602212.9174638,1704968
337,Arunachal Pradesh,2022,4,Recharge & bill payments,239412553.61214688,669151
338,Arunachal Pradesh,2022,4,Financial Services,3785469.3993366556,2617
339,Arunachal Pradesh,2022,4,Others,4020773.8953960314,4838
340,Arunachal Pradesh,2023,1,Peer-to-peer payments,13170741327.0,3879583
341,Arunachal Pradesh,2023,1,Merchant payments,2802762028.0,2922784
342,Arunachal Pradesh,2023,1,Recharge & bill payments,409663161.0,1229475
343,Arunachal Pradesh,2023,1,Financial Services,6310412.0,4142
344,Arunachal Pradesh,2023,1,Others,5101526.0,6841
345,Arunachal Pradesh,2023,2,Peer-to-peer payments,15695323405.0,4883817
346,Arunachal Pradesh,2023,2,Merchant payments,3651614280.0,4091876
347,Arunachal Pradesh,2023,2,Recharge & bill payments,447452168.0,1374689
348,Arunachal Pradesh,2023,2,Financial Services,5815474.0,3392
349,Arunachal Pradesh,2023,2,Others,5493337.0,6714
350,Arunachal Pradesh,2023,3,Peer-to-peer payments,16351752522.0,5889357
351,Arunachal Pradesh,2023,3,Merchant payments,4277046551.0,5451474
352,Arunachal Pradesh,2023,3,Recharge & bill payments,482412481.0,1450780
353,Arunachal Pradesh,2023,3,Financial Services,11365670.0,4825
354,Arunachal Pradesh,2023,3,Others,4813862.0,5997
355,Arunachal Pradesh,2023,4,Peer-to-peer payments,18554712209.0,6678381
356,Arunachal Pradesh,2023,4,Merchant payments,5043099494.0,6435278
357,Arunachal Pradesh,2023,4,Recharge & bill payments,515181105.0,1491471
358,Arunachal Pradesh,2023,4,Financial Services,11079378.0,5573
359,Arunachal Pradesh,2023,4,Others,4727608.0,7039
360,Assam,2018,1,Recharge & bill payments,93491181.14056379,632092
361,Assam,2018,1,Peer-to-peer payments,993525195.9818655,318025
362,Assam,2018,1,Merchant payments,34501622.89266755,40482
363,Assam,2018,1,Financial Services,4936862.200688562,18172
364,Assam,2018,1,Others,31349593.99668264,48110
365,Assam,2018,2,Recharge & bill payments,174427478.21340805,984160
366,Assam,2018,2,Peer-to-peer payments,2064314053.1339972,530781
367,Assam,2018,2,Merchant payments,73366344.80739225,79307
368,Assam,2018,2,Financial Services,7051504.657611102,22773
369,Assam,2018,2,Others,31425754.725386057,46852
370,Assam,2018,3,Recharge & bill payments,254569069.32411742,1275136
371,Assam,2018,3,Peer-to-peer payments,3424136709.5088205,843571
372,Assam,2018,3,Merchant payments,96783839.37466942,159532
373,Assam,2018,3,Financial Services,4741123.821880115,22677
374,Assam,2018,3,Others,30904247.884785894,50935
375,Assam,2018,4,Recharge & bill payments,317661277.3470997,1703488
376,Assam,2018,4,Peer-to-peer payments,5284776455.070784,1279089
377,Assam,2018,4,Merchant payments,240563395.2777939,667293
378,Assam,2018,4,Financial Services,6331912.52655252,28035
