,State,District,Year,Quartar,Trans_Count,Amount
5602,Jammu And Kashmir,Poonch,2020,4,117245,342505124.4352001
5603,Jammu And Kashmir,Kathua,2020,4,226360,463045666.1261914
5604,Jammu And Kashmir,Kishtwar,2020,4,51330,107185861.51281238
5605,Jammu And Kashmir,Pulwama,2020,4,219731,551823991.7884358
5606,Jammu And Kashmir,Ramban,2020,4,78367,192684246.34585124
5607,Jammu And Kashmir,Rajouri,2020,4,196713,567890456.5176737
5608,Jammu And Kashmir,Kulgam,2020,4,124253,220794472.45019814
5609,Jammu And Kashmir,Budgam,2020,4,295461,692267475.7911439
5610,Jammu And Kashmir,Anantnag,2020,4,282499,514346950.9515931
5611,Jammu And Kashmir,Kupwara,2020,4,303474,721320071.0437154
5612,Jammu And Kashmir,Muzaffarabad,2021,1,1760,7018769.97680518
5613,Jammu And Kashmir,Doda,2021,1,93540,197962516.58644903
5614,Jammu And Kashmir,Samba,2021,1,201873,489544571.0195805
5615,Jammu And Kashmir,Mirpur,2021,1,19836,76641365.50414479
5616,Jammu And Kashmir,Srinagar,2021,1,1027161,2568956545.4611216
5617,Jammu And Kashmir,Baramulla,2021,1,410535,785025036.8822093
5618,Jammu And Kashmir,Jammu,2021,1,2651223,7421535965.773878
5619,Jammu And Kashmir,Ganderbal,2021,1,90691,163957078.62440437
5620,Jammu And Kashmir,Udhampur,2021,1,253788,659211752.0750571
5621,Jammu And Kashmir,Bandipore,2021,1,110105,212281960.49428704
5622,Jammu And Kashmir,Reasi,2021,1,129459,310187729.6204411
5623,Jammu And Kashmir,Shopian,2021,1,72084,140201587.32333398
5624,Jammu And Kashmir,Poonch,2021,1,103668,299466026.8590725
5625,Jammu And Kashmir,Kathua,2021,1,245017,476737690.8982123
5626,Jammu And Kashmir,Kishtwar,2021,1,51696,119471258.11255996
5627,Jammu And Kashmir,Pulwama,2021,1,230547,506298792.83870804
5628,Jammu And Kashmir,Ramban,2021,1,79917,198841833.51555723
5629,Jammu And Kashmir,Rajouri,2021,1,185784,544732582.9070423
5630,Jammu And Kashmir,Kulgam,2021,1,118926,178549172.9397456
5631,Jammu And Kashmir,Budgam,2021,1,314969,629196655.3946896
5632,Jammu And Kashmir,Anantnag,2021,1,317577,500687365.6142787
5633,Jammu And Kashmir,Kupwara,2021,1,287414,651843634.7301381
5634,Jammu And Kashmir,Muzaffarabad,2021,2,3148,10753997.018016852
5635,Jammu And Kashmir,Doda,2021,2,140197,278351055.12039316
5636,Jammu And Kashmir,Samba,2021,2,272944,627782719.5376384
5637,Jammu And Kashmir,Mirpur,2021,2,27536,100332260.09541795
5638,Jammu And Kashmir,Srinagar,2021,2,1529261,3491629169.891506
5639,Jammu And Kashmir,Baramulla,2021,2,558737,966623715.8159674
5640,Jammu And Kashmir,Jammu,2021,2,3793205,10159766998.570372
5641,Jammu And Kashmir,Ganderbal,2021,2,140457,232925318.179365
5642,Jammu And Kashmir,Udhampur,2021,2,361814,841569039.9908626
5643,Jammu And Kashmir,Bandipore,2021,2,160002,285432318.8981966
5644,Jammu And Kashmir,Reasi,2021,2,155375,315743621.2957236
5645,Jammu And Kashmir,Shopian,2021,2,103178,162612796.33491415
5646,Jammu And Kashmir,Poonch,2021,2,155606,414593947.4794037
5647,Jammu And Kashmir,Kathua,2021,2,329534,635043868.1523829
5648,Jammu And Kashmir,Kishtwar,2021,2,76391,153411579.98716158
5649,Jammu And Kashmir,Pulwama,2021,2,332326,632761432.1392006
5650,Jammu And Kashmir,Ramban,2021,2,117866,253971901.63214535
5651,Jammu And Kashmir,Rajouri,2021,2,239185,634121152.0877542
5652,Jammu And Kashmir,Kulgam,2021,2,192379,256728224.91522247
5653,Jammu And Kashmir,Budgam,2021,2,450138,822332973.9248707
5654,Jammu And Kashmir,Anantnag,2021,2,479956,717788809.3041894
5655,Jammu And Kashmir,Kupwara,2021,2,408584,819478528.2209682
5656,Jammu And Kashmir,Muzaffarabad,2021,3,4058,15722035.204606244
5657,Jammu And Kashmir,Doda,2021,3,178242,377444601.9327241
5658,Jammu And Kashmir,Samba,2021,3,352992,822873576.4759533
5659,Jammu And Kashmir,Mirpur,2021,3,32777,122345912.5978739
5660,Jammu And Kashmir,Srinagar,2021,3,2196468,5510884597.059817
5661,Jammu And Kashmir,Baramulla,2021,3,647847,1285810267.7066154
5662,Jammu And Kashmir,Jammu,2021,3,5192026,13867943225.785107
5663,Jammu And Kashmir,Ganderbal,2021,3,176334,338209062.1399027
5664,Jammu And Kashmir,Udhampur,2021,3,476615,1090587535.866065
5665,Jammu And Kashmir,Bandipore,2021,3,177163,340899753.33691466
5666,Jammu And Kashmir,Reasi,2021,3,247073,542552590.7556257
5667,Jammu And Kashmir,Shopian,2021,3,124570,229098781.19403479
5668,Jammu And Kashmir,Poonch,2021,3,182447,520994995.97337115
5669,Jammu And Kashmir,Kathua,2021,3,399722,762622103.9071403
5670,Jammu And Kashmir,Kishtwar,2021,3,96068,208106532.42523685
5671,Jammu And Kashmir,Pulwama,2021,3,393629,826511580.0632427
5672,Jammu And Kashmir,Ramban,2021,3,157474,367286361.96328044
5673,Jammu And Kashmir,Rajouri,2021,3,289081,823624344.2157102
5674,Jammu And Kashmir,Kulgam,2021,3,223401,360260919.092471
5675,Jammu And Kashmir,Budgam,2021,3,545818,1112797675.6615355
5676,Jammu And Kashmir,Anantnag,2021,3,580106,938064508.2337394
5677,Jammu And Kashmir,Kupwara,2021,3,477130,1133802686.4410892
5678,Jammu And Kashmir,Muzaffarabad,2021,4,5831,21241442.22450836
5679,Jammu And Kashmir,Doda,2021,4,235025,435237678.46631306
5680,Jammu And Kashmir,Samba,2021,4,492079,1144805603.769711
5681,Jammu And Kashmir,Mirpur,2021,4,39050,142452278.94317237
5682,Jammu And Kashmir,Srinagar,2021,4,2900577,7232270069.006123
5683,Jammu And Kashmir,Baramulla,2021,4,787593,1567275687.193142
5684,Jammu And Kashmir,Jammu,2021,4,6639541,16627649138.408905
5685,Jammu And Kashmir,Ganderbal,2021,4,211443,370559306.14335734
5686,Jammu And Kashmir,Udhampur,2021,4,621122,1409015376.0471456
5687,Jammu And Kashmir,Bandipore,2021,4,230443,426224671.10234237
5688,Jammu And Kashmir,Reasi,2021,4,332221,721602756.4764307
5689,Jammu And Kashmir,Shopian,2021,4,158150,324099702.9246179
5690,Jammu And Kashmir,Poonch,2021,4,224247,610046677.2859366
5691,Jammu And Kashmir,Kathua,2021,4,528207,1082468701.539606
5692,Jammu And Kashmir,Kishtwar,2021,4,120885,242172974.0745622
5693,Jammu And Kashmir,Pulwama,2021,4,462342,988006961.9135485
5694,Jammu And Kashmir,Ramban,2021,4,199682,423301690.5890018
5695,Jammu And Kashmir,Rajouri,2021,4,363872,998884379.6677287
5696,Jammu And Kashmir,Kulgam,2021,4,279358,450818697.9289175
5697,Jammu And Kashmir,Budgam,2021,4,678080,1358477847.9462016
5698,Jammu And Kashmir,Anantnag,2021,4,683078,1035794983.4736751
5699,Jammu And Kashmir,Kupwara,2021,4,597802,1313830800.64671
5700,Jammu And Kashmir,Muzaffarabad,2022,1,5151,19960049.91358368
5701,Jammu And Kashmir,Doda,2022,1,243924,421316780.2833054
5702,Jammu And Kashmir,Samba,2022,1,588078,1229539785.5198188
5703,Jammu And Kashmir,Mirpur,2022,1,38244,124084071.18939105
5704,Jammu And Kashmir,Srinagar,2022,1,2743701,5949336258.494824
5705,Jammu And Kashmir,Baramulla,2022,1,877608,1607194898.3390284
5706,Jammu And Kashmir,Jammu,2022,1,5510056,11881749307.528316
5707,Jammu And Kashmir,Ganderbal,2022,1,210863,345901039.9280174
5708,Jammu And Kashmir,Udhampur,2022,1,729905,1568037829.8497906
5709,Jammu And Kashmir,Bandipore,2022,1,259483,442350711.2491821
5710,Jammu And Kashmir,Reasi,2022,1,362457,730878668.0515049
5711,Jammu And Kashmir,Shopian,2022,1,162032,256594552.48595798
5712,Jammu And Kashmir,Poonch,2022,1,242450,638025507.382849
5713,Jammu And Kashmir,Kathua,2022,1,608852,1177353985.585809
5714,Jammu And Kashmir,Kishtwar,2022,1,142061,253794904.9452212
5715,Jammu And Kashmir,Pulwama,2022,1,508605,1004677770.5886711
5716,Jammu And Kashmir,Ramban,2022,1,212611,426250571.16478634
5717,Jammu And Kashmir,Rajouri,2022,1,397302,1014911355.8101926
5718,Jammu And Kashmir,Kulgam,2022,1,300260,402883161.9725286
5719,Jammu And Kashmir,Budgam,2022,1,718312,1319712135.4938066
5720,Jammu And Kashmir,Anantnag,2022,1,728868,1032527025.5719063
5721,Jammu And Kashmir,Kupwara,2022,1,654488,1300783254.8105645
5722,Jammu And Kashmir,Muzaffarabad,2022,2,10444,33449179.766689982
5723,Jammu And Kashmir,Doda,2022,2,339886,563086389.1667428
5724,Jammu And Kashmir,Samba,2022,2,783532,1573110669.1012697
5725,Jammu And Kashmir,Mirpur,2022,2,56603,166355428.48376888
5726,Jammu And Kashmir,Srinagar,2022,2,4660647,9640282801.134443
5727,Jammu And Kashmir,Baramulla,2022,2,1226879,2154959862.6085277
5728,Jammu And Kashmir,Jammu,2022,2,7441002,14880950856.224466
5729,Jammu And Kashmir,Ganderbal,2022,2,408175,736411674.659951
5730,Jammu And Kashmir,Udhampur,2022,2,947548,1877648827.4614248
5731,Jammu And Kashmir,Bandipore,2022,2,360875,621882624.2601936
5732,Jammu And Kashmir,Reasi,2022,2,548687,1063805328.4910237
5733,Jammu And Kashmir,Shopian,2022,2,268677,434290103.6395203
5734,Jammu And Kashmir,Poonch,2022,2,357832,884012060.8643444
5735,Jammu And Kashmir,Kathua,2022,2,817009,1514113031.121934
5736,Jammu And Kashmir,Kishtwar,2022,2,188126,322575247.5125381
5737,Jammu And Kashmir,Pulwama,2022,2,790442,1527002272.083313
5738,Jammu And Kashmir,Ramban,2022,2,320262,607095737.0299164
5739,Jammu And Kashmir,Rajouri,2022,2,565064,1321641184.8698494
5740,Jammu And Kashmir,Kulgam,2022,2,479844,650870806.9906567
5741,Jammu And Kashmir,Budgam,2022,2,1052343,1977187447.2169597
5742,Jammu And Kashmir,Anantnag,2022,2,1214291,1884518051.065606
5743,Jammu And Kashmir,Kupwara,2022,2,975579,1819041252.88245
5744,Jammu And Kashmir,Muzaffarabad,2022,3,12533,36613737.026607536
5745,Jammu And Kashmir,Doda,2022,3,373904,609472501.3634437
5746,Jammu And Kashmir,Samba,2022,3,842829,1581915447.7990084
5747,Jammu And Kashmir,Mirpur,2022,3,57562,165963511.14880985
5748,Jammu And Kashmir,Srinagar,2022,3,2447805,4804161643.106109
5749,Jammu And Kashmir,Baramulla,2022,3,1311393,2203515919.7910256
5750,Jammu And Kashmir,Jammu,2022,3,7526503,13607597636.170393
5751,Jammu And Kashmir,Ganderbal,2022,3,472648,930632192.6087635
5752,Jammu And Kashmir,Udhampur,2022,3,997199,1863833971.9477148
5753,Jammu And Kashmir,Bandipore,2022,3,386029,668983199.9584781
5754,Jammu And Kashmir,Reasi,2022,3,570648,1072011932.774343
5755,Jammu And Kashmir,Shopian,2022,3,320567,501659068.4017532
5756,Jammu And Kashmir,Poonch,2022,3,388681,897489057.0183108
5757,Jammu And Kashmir,Kathua,2022,3,834884,1473463666.339784
5758,Jammu And Kashmir,Kishtwar,2022,3,225295,396196222.3084749
5759,Jammu And Kashmir,Pulwama,2022,3,847472,1623093820.1695747
5760,Jammu And Kashmir,Ramban,2022,3,366778,680698346.3950101
5761,Jammu And Kashmir,Rajouri,2022,3,579577,1320001714.339793
5762,Jammu And Kashmir,Kulgam,2022,3,539004,763535701.9158515
5763,Jammu And Kashmir,Budgam,2022,3,1140418,1992489881.6152542
5764,Jammu And Kashmir,Anantnag,2022,3,1263844,1939518538.6283112
5765,Jammu And Kashmir,Kupwara,2022,3,1028821,1830706791.4213793
5766,Jammu And Kashmir,Muzaffarabad,2022,4,14832,35055780.855990365
5767,Jammu And Kashmir,Doda,2022,4,513476,629795395.8400228
5768,Jammu And Kashmir,Samba,2022,4,1025985,1822006887.441403
5769,Jammu And Kashmir,Mirpur,2022,4,72961,184917178.2132864
5770,Jammu And Kashmir,Srinagar,2022,4,3176470,5356773720.96018
5771,Jammu And Kashmir,Baramulla,2022,4,1599504,2370515820.01391
5772,Jammu And Kashmir,Jammu,2022,4,9213783,15674936388.296492
5773,Jammu And Kashmir,Ganderbal,2022,4,411732,597517710.9861526
5774,Jammu And Kashmir,Udhampur,2022,4,1227109,2035000646.9887607
5775,Jammu And Kashmir,Bandipore,2022,4,451513,626896193.6954811
5776,Jammu And Kashmir,Reasi,2022,4,700011,1146621584.5183542
5777,Jammu And Kashmir,Shopian,2022,4,402989,610805803.8629034
5778,Jammu And Kashmir,Poonch,2022,4,538857,1050594398.560792
5779,Jammu And Kashmir,Kathua,2022,4,1035799,1765328885.276795
5780,Jammu And Kashmir,Kishtwar,2022,4,283374,387202223.58237594
5781,Jammu And Kashmir,Pulwama,2022,4,963378,1594427876.0287037
5782,Jammu And Kashmir,Ramban,2022,4,438060,692350601.4061894
5783,Jammu And Kashmir,Rajouri,2022,4,726588,1476623503.222388
5784,Jammu And Kashmir,Kulgam,2022,4,654424,837066487.4013662
5785,Jammu And Kashmir,Budgam,2022,4,1306982,1932170615.5444055
5786,Jammu And Kashmir,Anantnag,2022,4,1338553,1684090753.6075988
5787,Jammu And Kashmir,Kupwara,2022,4,1219778,1804597459.1902237
5788,Jammu And Kashmir,Muzaffarabad,2023,1,20128,51235460.0
5789,Jammu And Kashmir,Doda,2023,1,865832,963594006.0
5790,Jammu And Kashmir,Samba,2023,1,1784289,2881890615.0
5791,Jammu And Kashmir,Mirpur,2023,1,126701,289931459.0
5792,Jammu And Kashmir,Srinagar,2023,1,3695677,5650181266.0
5793,Jammu And Kashmir,Baramulla,2023,1,2752305,3542417579.0
5794,Jammu And Kashmir,Jammu,2023,1,10062633,15395688639.0
5795,Jammu And Kashmir,Ganderbal,2023,1,644922,800267495.0
5796,Jammu And Kashmir,Udhampur,2023,1,2150992,3199398064.0
5797,Jammu And Kashmir,Bandipore,2023,1,754833,915148396.0
5798,Jammu And Kashmir,Reasi,2023,1,1233189,1862756570.0
5799,Jammu And Kashmir,Shopian,2023,1,623973,739993898.0
5800,Jammu And Kashmir,Poonch,2023,1,897818,1517844484.0
5801,Jammu And Kashmir,Kathua,2023,1,1772544,2772584597.0
5802,Jammu And Kashmir,Kishtwar,2023,1,487478,569176836.0
5803,Jammu And Kashmir,Pulwama,2023,1,1576453,2301558160.0
5804,Jammu And Kashmir,Ramban,2023,1,772706,1041150660.0
5805,Jammu And Kashmir,Rajouri,2023,1,1314677,2352043692.0
5806,Jammu And Kashmir,Kulgam,2023,1,1057703,1040759344.0
5807,Jammu And Kashmir,Budgam,2023,1,2135840,2875364245.0
5808,Jammu And Kashmir,Anantnag,2023,1,2186498,2447319229.0
5809,Jammu And Kashmir,Kupwara,2023,1,2010053,2711442887.0
5810,Jammu And Kashmir,Muzaffarabad,2023,2,35337,65849840.0
5811,Jammu And Kashmir,Doda,2023,2,1230358,1389627752.0
5812,Jammu And Kashmir,Samba,2023,2,2462291,3578070894.0
5813,Jammu And Kashmir,Mirpur,2023,2,183099,376011800.0
5814,Jammu And Kashmir,Srinagar,2023,2,5798618,9057848812.0
5815,Jammu And Kashmir,Baramulla,2023,2,3950312,5012742718.0
5816,Jammu And Kashmir,Jammu,2023,2,12519665,18093034879.0
5817,Jammu And Kashmir,Ganderbal,2023,2,1094888,1523913758.0
5818,Jammu And Kashmir,Udhampur,2023,2,2810698,4021272291.0
5819,Jammu And Kashmir,Bandipore,2023,2,1065502,1344236762.0
5820,Jammu And Kashmir,Reasi,2023,2,1749496,2622419268.0
5821,Jammu And Kashmir,Shopian,2023,2,989787,1103187221.0
5822,Jammu And Kashmir,Poonch,2023,2,1340547,2319474214.0
5823,Jammu And Kashmir,Kathua,2023,2,2417101,3367803832.0
5824,Jammu And Kashmir,Kishtwar,2023,2,663666,813628523.0
5825,Jammu And Kashmir,Pulwama,2023,2,2254773,3358021119.0
5826,Jammu And Kashmir,Ramban,2023,2,1125339,1467712387.0
5827,Jammu And Kashmir,Rajouri,2023,2,1846860,3125635603.0
5828,Jammu And Kashmir,Kulgam,2023,2,1628248,1640404531.0
5829,Jammu And Kashmir,Budgam,2023,2,3062613,4214975804.0
5830,Jammu And Kashmir,Anantnag,2023,2,3335448,3997881663.0
5831,Jammu And Kashmir,Kupwara,2023,2,3023653,4036251709.0
5832,Jammu And Kashmir,Muzaffarabad,2023,3,43317,92613431.0
5833,Jammu And Kashmir,Doda,2023,3,1389865,1662178991.0
5834,Jammu And Kashmir,Samba,2023,3,2803963,3799380535.0
5835,Jammu And Kashmir,Mirpur,2023,3,182955,360260789.0
5836,Jammu And Kashmir,Srinagar,2023,3,7003470,9995586701.0
5837,Jammu And Kashmir,Baramulla,2023,3,4764647,5690607706.0
5838,Jammu And Kashmir,Jammu,2023,3,14432102,19883917524.0
5839,Jammu And Kashmir,Ganderbal,2023,3,1518152,2303133445.0
5840,Jammu And Kashmir,Udhampur,2023,3,3051454,4231599879.0
5841,Jammu And Kashmir,Bandipore,2023,3,1276481,1596055809.0
5842,Jammu And Kashmir,Reasi,2023,3,1898355,2602430820.0
5843,Jammu And Kashmir,Shopian,2023,3,1189432,1294714599.0
5844,Jammu And Kashmir,Poonch,2023,3,1478439,2362346048.0
5845,Jammu And Kashmir,Kathua,2023,3,2707886,3791246562.0
5846,Jammu And Kashmir,Kishtwar,2023,3,798927,1004496567.0
5847,Jammu And Kashmir,Pulwama,2023,3,2662125,3873276450.0
5848,Jammu And Kashmir,Ramban,2023,3,1292908,1777537378.0
5849,Jammu And Kashmir,Rajouri,2023,3,2098826,3436523552.0
5850,Jammu And Kashmir,Kulgam,2023,3,1931905,1983213851.0
5851,Jammu And Kashmir,Budgam,2023,3,3693931,4944326402.0
5852,Jammu And Kashmir,Anantnag,2023,3,4122154,4972376475.0
5853,Jammu And Kashmir,Kupwara,2023,3,3562285,4358324912.0
5854,Jammu And Kashmir,Muzaffarabad,2023,4,45913,88114272.0
5855,Jammu And Kashmir,Doda,2023,4,1522265,1782463386.0
5856,Jammu And Kashmir,Samba,2023,4,3222238,4395996752.0
5857,Jammu And Kashmir,Mirpur,2023,4,207425,403390530.0
5858,Jammu And Kashmir,Srinagar,2023,4,7074012,10113352740.0
5859,Jammu And Kashmir,Baramulla,2023,4,5009274,6414810534.0
5860,Jammu And Kashmir,Jammu,2023,4,16836698,23295898530.0
5861,Jammu And Kashmir,Ganderbal,2023,4,1239072,1587488854.0
5862,Jammu And Kashmir,Udhampur,2023,4,3516389,4822653780.0
5863,Jammu And Kashmir,Bandipore,2023,4,1337160,1583429415.0
5864,Jammu And Kashmir,Reasi,2023,4,2204425,2902563933.0
5865,Jammu And Kashmir,Shopian,2023,4,1358140,1705185937.0
5866,Jammu And Kashmir,Poonch,2023,4,1611652,2568995996.0
5867,Jammu And Kashmir,Kathua,2023,4,3271541,4645358981.0
5868,Jammu And Kashmir,Kishtwar,2023,4,838700,1009423446.0
5869,Jammu And Kashmir,Pulwama,2023,4,2718256,3937047720.0
5870,Jammu And Kashmir,Ramban,2023,4,1353636,1727315306.0
5871,Jammu And Kashmir,Rajouri,2023,4,2348353,3744674648.0
5872,Jammu And Kashmir,Kulgam,2023,4,2038643,2300544081.0
5873,Jammu And Kashmir,Budgam,2023,4,3782455,4948841420.0
5874,Jammu And Kashmir,Anantnag,2023,4,3898355,4563638521.0
5875,Jammu And Kashmir,Kupwara,2023,4,3732530,4528952978.0
5876,Jharkhand,Ramgarh,2018,1,97459,85844869.66475454
5877,Jharkhand,Ranchi,2018,1,356622,434234048.4962647
5878,Jharkhand,East Singhbhum,2018,1,220276,257229540.65490007
5879,Jharkhand,Jamtara,2018,1,21925,37530176.98115201
5880,Jharkhand,Dumka,2018,1,37867,33366389.64390042
5881,Jharkhand,Koderma,2018,1,58922,76001334.68492848
5882,Jharkhand,Hazaribagh,2018,1,150709,171297280.2361688
5883,Jharkhand,Simdega,2018,1,6739,9328083.907140622
5884,Jharkhand,Garhwa,2018,1,47858,105426064.77369875
5885,Jharkhand,Saraikela Kharsawan,2018,1,83449,74573902.81878725
5886,Jharkhand,Gumla,2018,1,12079,15422722.31229529
5887,Jharkhand,Chatra,2018,1,28364,48808252.9144469
5888,Jharkhand,Khunti,2018,1,10377,12238451.413852565
5889,Jharkhand,Dhanbad,2018,1,340878,271973005.2993548
5890,Jharkhand,Godda,2018,1,36994,36033979.36832302
5891,Jharkhand,Deoghar,2018,1,70058,91100585.73781538
5892,Jharkhand,Palamu,2018,1,84608,128141542.2688809
5893,Jharkhand,Latehar,2018,1,20416,35121829.70128228
5894,Jharkhand,West Singhbhum,2018,1,34197,38008802.03968498
5895,Jharkhand,Pakur,2018,1,17321,10639883.904580789
5896,Jharkhand,Lohardaga,2018,1,15716,16349311.325518148
5897,Jharkhand,Sahebganj,2018,1,30741,44038697.06983768
5898,Jharkhand,Giridih,2018,1,131905,131409945.94483337
5899,Jharkhand,Bokaro,2018,1,263441,210067688.75698972
5900,Jharkhand,Ramgarh,2018,2,120655,173725383.96619216
5901,Jharkhand,Ranchi,2018,2,501072,820976014.2247977
5902,Jharkhand,East Singhbhum,2018,2,323829,467008622.29054534
5903,Jharkhand,Jamtara,2018,2,33336,65954452.967897445
5904,Jharkhand,Dumka,2018,2,52730,62513760.31002599
5905,Jharkhand,Koderma,2018,2,78447,157457238.23045406
5906,Jharkhand,Hazaribagh,2018,2,214298,371520189.2845477
5907,Jharkhand,Simdega,2018,2,9842,19536971.86893055
5908,Jharkhand,Garhwa,2018,2,80546,248149219.75080514
5909,Jharkhand,Saraikela Kharsawan,2018,2,117686,128312051.58743985
5910,Jharkhand,Gumla,2018,2,18470,30300849.443379648
5911,Jharkhand,Chatra,2018,2,42721,103935683.23963837
5912,Jharkhand,Khunti,2018,2,14808,24028506.190518655
5913,Jharkhand,Dhanbad,2018,2,520547,503649314.08955395
5914,Jharkhand,Godda,2018,2,55790,94877071.5958207
5915,Jharkhand,Deoghar,2018,2,96438,148363954.84218916
5916,Jharkhand,Palamu,2018,2,131021,325976624.8230643
5917,Jharkhand,Latehar,2018,2,31244,78012578.84608759
5918,Jharkhand,West Singhbhum,2018,2,49609,69912382.99671319
5919,Jharkhand,Pakur,2018,2,24613,32269216.251769222
5920,Jharkhand,Lohardaga,2018,2,20959,31539375.169917487
5921,Jharkhand,Sahebganj,2018,2,44517,97661893.23262924
5922,Jharkhand,Giridih,2018,2,172783,267172044.8851918
5923,Jharkhand,Bokaro,2018,2,396119,398722258.97476417
5924,Jharkhand,Ramgarh,2018,3,264474,310366602.6469911
5925,Jharkhand,Ranchi,2018,3,1040485,1373309866.0578432
5926,Jharkhand,East Singhbhum,2018,3,716556,825516933.9712927
5927,Jharkhand,Jamtara,2018,3,73849,76580887.24947754
5928,Jharkhand,Dumka,2018,3,151655,133011457.10467342
5929,Jharkhand,Koderma,2018,3,138942,249949409.4803542
5930,Jharkhand,Hazaribagh,2018,3,542701,663718370.6947035
5931,Jharkhand,Simdega,2018,3,13726,25648369.734839424
5932,Jharkhand,Garhwa,2018,3,108433,336403685.7283772
5933,Jharkhand,Saraikela Kharsawan,2018,3,290800,265695487.6867497
5934,Jharkhand,Gumla,2018,3,25772,42595638.74931184
5935,Jharkhand,Chatra,2018,3,79849,174206860.24867332
5936,Jharkhand,Khunti,2018,3,21153,44676454.34154199
5937,Jharkhand,Dhanbad,2018,3,2064271,1383326534.6497746
5938,Jharkhand,Godda,2018,3,74223,125755382.3951503
5939,Jharkhand,Deoghar,2018,3,152113,198908051.87959886
5940,Jharkhand,Palamu,2018,3,166304,405648506.51824975
5941,Jharkhand,Latehar,2018,3,44859,121527383.17373994
5942,Jharkhand,West Singhbhum,2018,3,79053,112805093.1913876
5943,Jharkhand,Pakur,2018,3,40103,53635968.332766
5944,Jharkhand,Lohardaga,2018,3,29529,51299901.60382438
5945,Jharkhand,Sahebganj,2018,3,63020,126227082.25502507
5946,Jharkhand,Giridih,2018,3,334079,457115389.3922781
5947,Jharkhand,Bokaro,2018,3,1606672,1103642100.617909
5948,Jharkhand,Ramgarh,2018,4,245189,412829670.89178383
5949,Jharkhand,Ranchi,2018,4,997887,1817673935.7006779
5950,Jharkhand,East Singhbhum,2018,4,616640,990453488.2225387
5951,Jharkhand,Jamtara,2018,4,69899,88236099.31173173
5952,Jharkhand,Dumka,2018,4,108716,130199956.43032046
5953,Jharkhand,Koderma,2018,4,145018,347563723.9094753
5954,Jharkhand,Hazaribagh,2018,4,454790,843013094.1120856
5955,Jharkhand,Simdega,2018,4,19546,44876911.67864157
5956,Jharkhand,Garhwa,2018,4,150200,498426272.61469066
5957,Jharkhand,Saraikela Kharsawan,2018,4,242853,296733243.1740029
5958,Jharkhand,Gumla,2018,4,35436,74139877.45931
5959,Jharkhand,Chatra,2018,4,99556,275373551.3442755
5960,Jharkhand,Khunti,2018,4,27189,58660541.43013879
5961,Jharkhand,Dhanbad,2018,4,1062585,1128043527.8329782
5962,Jharkhand,Godda,2018,4,111530,195266208.56380132
5963,Jharkhand,Deoghar,2018,4,152383,236116834.01685223
5964,Jharkhand,Palamu,2018,4,234378,620094977.5658048
5965,Jharkhand,Latehar,2018,4,69590,215459501.83440596
5966,Jharkhand,West Singhbhum,2018,4,94778,161602065.21757331
5967,Jharkhand,Pakur,2018,4,58677,76373283.19081725
5968,Jharkhand,Lohardaga,2018,4,35604,81171963.13151148
5969,Jharkhand,Sahebganj,2018,4,88654,175686520.1584292
5970,Jharkhand,Giridih,2018,4,364032,575695972.035529
5971,Jharkhand,Bokaro,2018,4,798913,898225421.2948879
5972,Jharkhand,Ramgarh,2019,1,349693,489903880.8153255
5973,Jharkhand,Ranchi,2019,1,1958897,3112736131.120337
5974,Jharkhand,East Singhbhum,2019,1,909285,1244357275.145483
5975,Jharkhand,Jamtara,2019,1,92090,106210459.76307851
5976,Jharkhand,Dumka,2019,1,161100,170044993.11020815
5977,Jharkhand,Koderma,2019,1,206484,382615731.9092488
5978,Jharkhand,Hazaribagh,2019,1,658381,1096533636.5584443
5979,Jharkhand,Simdega,2019,1,21230,49042353.79927784
5980,Jharkhand,Garhwa,2019,1,189007,622547866.7237244
5981,Jharkhand,Saraikela Kharsawan,2019,1,395831,376316821.2155843
5982,Jharkhand,Gumla,2019,1,44668,89190224.49664608
5983,Jharkhand,Chatra,2019,1,139459,349699443.98078203
5984,Jharkhand,Khunti,2019,1,36962,76762554.1396697
5985,Jharkhand,Dhanbad,2019,1,1390250,1330543703.1307168
5986,Jharkhand,Godda,2019,1,193681,262228609.84591857
5987,Jharkhand,Deoghar,2019,1,204610,311986223.28785783
5988,Jharkhand,Palamu,2019,1,336935,875063883.7575887
5989,Jharkhand,Latehar,2019,1,105495,304872788.6697321
5990,Jharkhand,West Singhbhum,2019,1,132348,203416567.0013063
5991,Jharkhand,Pakur,2019,1,89881,101085742.56454855
5992,Jharkhand,Lohardaga,2019,1,44688,101421187.79935181
5993,Jharkhand,Sahebganj,2019,1,111302,229450483.51369292
5994,Jharkhand,Giridih,2019,1,540524,695057378.0180323
5995,Jharkhand,Bokaro,2019,1,1074907,1046148508.9114575
5996,Jharkhand,Ramgarh,2019,2,331688,593592675.6244884
5997,Jharkhand,Ranchi,2019,2,3147028,5924687357.225821
5998,Jharkhand,East Singhbhum,2019,2,960100,1505995808.375913
5999,Jharkhand,Jamtara,2019,2,62476,117513448.63148057
6000,Jharkhand,Dumka,2019,2,120692,195596448.81764007
6001,Jharkhand,Koderma,2019,2,194180,466014390.1260528
6002,Jharkhand,Hazaribagh,2019,2,633673,1332857266.8961062
6003,Jharkhand,Simdega,2019,2,27420,68451218.94833788
