,State,District,Year,Quartar,Trans_Count,Amount
76,Andhra Pradesh,Visakhapatnam,2018,1,1256469,1749966196.5049946
77,Andhra Pradesh,Prakasam,2018,1,534757,748990775.8676485
78,Andhra Pradesh,Anantapur,2018,1,638664,788830646.0324218
79,Andhra Pradesh,Ysr,2018,1,487333,681481931.0936775
80,Andhra Pradesh,West Godavari,2018,1,577090,853547668.7532666
81,Andhra Pradesh,Kurnool,2018,1,679623,764905298.7350456
82,Andhra Pradesh,Chittoor,2018,1,830324,1009621878.0870512
83,Andhra Pradesh,Guntur,2018,1,815932,1108686589.0266829
84,Andhra Pradesh,Krishna,2018,1,863935,1284255179.6156201
85,Andhra Pradesh,East Godavari,2018,2,1221677,2168914928.4239016
86,Andhra Pradesh,Srikakulam,2018,2,559868,929392017.3670053
87,Andhra Pradesh,Spsr Nellore,2018,2,780454,1542057934.0108962
88,Andhra Pradesh,Vizianagaram,2018,2,529588,811711367.5080048
89,Andhra Pradesh,Visakhapatnam,2018,2,1641192,2987853607.2939095
90,Andhra Pradesh,Prakasam,2018,2,739991,1571167562.1276276
91,Andhra Pradesh,Anantapur,2018,2,937023,1690366079.0557928
92,Andhra Pradesh,Ysr,2018,2,690842,1415500367.6861844
93,Andhra Pradesh,West Godavari,2018,2,786033,1688025212.3045945
94,Andhra Pradesh,Kurnool,2018,2,968439,1531888665.6843233
95,Andhra Pradesh,Chittoor,2018,2,1185723,1990419125.8937118
96,Andhra Pradesh,Guntur,2018,2,1088101,2108475811.7859967
97,Andhra Pradesh,Krishna,2018,2,1224987,2448141593.4919834
98,Andhra Pradesh,East Godavari,2018,3,3226907,3551247095.307447
99,Andhra Pradesh,Srikakulam,2018,3,1073883,1318322236.598471
100,Andhra Pradesh,Spsr Nellore,2018,3,1308890,2215938596.185108
101,Andhra Pradesh,Vizianagaram,2018,3,970132,1163546006.895916
102,Andhra Pradesh,Visakhapatnam,2018,3,3394576,4821892253.393524
103,Andhra Pradesh,Prakasam,2018,3,1319651,2346453445.483843
104,Andhra Pradesh,Anantapur,2018,3,1815215,2681787750.464165
105,Andhra Pradesh,Ysr,2018,3,1557444,2235904512.2542048
106,Andhra Pradesh,West Godavari,2018,3,1431282,2309078492.8058147
107,Andhra Pradesh,Kurnool,2018,3,2921189,2908389261.539773
108,Andhra Pradesh,Chittoor,2018,3,2297429,3283517630.720593
109,Andhra Pradesh,Guntur,2018,3,1912529,3127764663.180438
110,Andhra Pradesh,Krishna,2018,3,2396934,3754202654.3844614
111,Andhra Pradesh,East Godavari,2018,4,3052762,4652624623.436675
112,Andhra Pradesh,Srikakulam,2018,4,1252807,1870278609.504549
113,Andhra Pradesh,Spsr Nellore,2018,4,1814997,3293448556.9734454
114,Andhra Pradesh,Vizianagaram,2018,4,1386787,1817673252.5417767
115,Andhra Pradesh,Visakhapatnam,2018,4,4791421,7366635864.849373
116,Andhra Pradesh,Prakasam,2018,4,1692862,3255254226.03728
117,Andhra Pradesh,Anantapur,2018,4,2286391,3975878156.329829
118,Andhra Pradesh,Ysr,2018,4,1732527,3252340063.2478595
119,Andhra Pradesh,West Godavari,2018,4,1688482,3237504255.4632454
120,Andhra Pradesh,Kurnool,2018,4,2508530,3626544852.4069242
121,Andhra Pradesh,Chittoor,2018,4,3166201,4979093890.223491
122,Andhra Pradesh,Guntur,2018,4,2546620,4730251217.696959
123,Andhra Pradesh,Krishna,2018,4,2839161,5416251838.130407
124,Andhra Pradesh,East Godavari,2019,1,5440146,7382264724.59952
125,Andhra Pradesh,Srikakulam,2019,1,2526855,3407912878.4152584
126,Andhra Pradesh,Spsr Nellore,2019,1,3333584,5161932216.216368
127,Andhra Pradesh,Vizianagaram,2019,1,2798241,3364576948.299301
128,Andhra Pradesh,Visakhapatnam,2019,1,9690866,13459857440.552685
129,Andhra Pradesh,Prakasam,2019,1,2931081,4807527779.215151
130,Andhra Pradesh,Anantapur,2019,1,3891336,6044730653.191345
131,Andhra Pradesh,Ysr,2019,1,2852197,4915811593.896078
132,Andhra Pradesh,West Godavari,2019,1,2829437,4623764455.47309
133,Andhra Pradesh,Kurnool,2019,1,4193432,5541564892.509682
134,Andhra Pradesh,Chittoor,2019,1,6486813,8223371732.233585
135,Andhra Pradesh,Guntur,2019,1,4846553,7765934169.404485
136,Andhra Pradesh,Krishna,2019,1,5443981,9061346433.072681
137,Andhra Pradesh,East Godavari,2019,2,4699261,9116404622.47651
138,Andhra Pradesh,Srikakulam,2019,2,2019203,4066576539.936839
139,Andhra Pradesh,Spsr Nellore,2019,2,3141891,6880873007.4820595
140,Andhra Pradesh,Vizianagaram,2019,2,2272320,4443041665.039663
141,Andhra Pradesh,Visakhapatnam,2019,2,11705738,20797479804.029076
142,Andhra Pradesh,Prakasam,2019,2,2670529,6262396448.455349
143,Andhra Pradesh,Anantapur,2019,2,3578836,7830782361.377665
144,Andhra Pradesh,Ysr,2019,2,2606284,6376856828.130632
145,Andhra Pradesh,West Godavari,2019,2,2402074,5676818258.955046
146,Andhra Pradesh,Kurnool,2019,2,3895824,7358285187.018034
147,Andhra Pradesh,Chittoor,2019,2,5983308,10982727976.224325
148,Andhra Pradesh,Guntur,2019,2,5005275,10405246943.481495
149,Andhra Pradesh,Krishna,2019,2,6428472,13437029115.620754
150,Andhra Pradesh,East Godavari,2019,3,6537303,11387726470.57774
151,Andhra Pradesh,Srikakulam,2019,3,2556296,4610131289.524039
152,Andhra Pradesh,Spsr Nellore,2019,3,4150195,8256600118.735449
153,Andhra Pradesh,Vizianagaram,2019,3,2861581,4922069039.19216
154,Andhra Pradesh,Visakhapatnam,2019,3,16694947,26944837120.046288
155,Andhra Pradesh,Prakasam,2019,3,3430750,7354502261.150911
156,Andhra Pradesh,Anantapur,2019,3,4889720,9554081289.488277
157,Andhra Pradesh,Ysr,2019,3,3296586,7447544274.2117815
158,Andhra Pradesh,West Godavari,2019,3,3179541,6627629029.01413
159,Andhra Pradesh,Kurnool,2019,3,5139134,9025632779.412457
160,Andhra Pradesh,Chittoor,2019,3,8201783,13837455758.755266
161,Andhra Pradesh,Guntur,2019,3,6942304,13075661264.188034
162,Andhra Pradesh,Krishna,2019,3,8408474,16404073560.500784
163,Andhra Pradesh,East Godavari,2019,4,9285739,16816774065.301317
164,Andhra Pradesh,Srikakulam,2019,4,3712555,6832369301.879345
165,Andhra Pradesh,Spsr Nellore,2019,4,5877804,11786014089.194027
166,Andhra Pradesh,Vizianagaram,2019,4,3998234,7175851807.068796
