,State,District,Year,Quartar,Registered_Users,App_Open_Count
90,Andhra Pradesh,Kurnool,2018,2,319313,0
91,Andhra Pradesh,Guntur,2018,2,420326,0
92,Andhra Pradesh,Krishna,2018,2,431965,0
93,Andhra Pradesh,Spsr Nellore,2018,2,261049,0
94,Andhra Pradesh,Vizianagaram,2018,2,167327,0
95,Andhra Pradesh,Ysr,2018,2,248657,0
96,Andhra Pradesh,West Godavari,2018,2,282393,0
97,Andhra Pradesh,Chittoor,2018,2,414306,0
98,Andhra Pradesh,East Godavari,2018,3,558982,0
99,Andhra Pradesh,Srikakulam,2018,3,228456,0
100,Andhra Pradesh,Visakhapatnam,2018,3,769096,0
101,Andhra Pradesh,Prakasam,2018,3,314899,0
102,Andhra Pradesh,Anantapur,2018,3,405855,0
103,Andhra Pradesh,Kurnool,2018,3,394311,0
104,Andhra Pradesh,Guntur,2018,3,518931,0
105,Andhra Pradesh,Krishna,2018,3,537086,0
106,Andhra Pradesh,Spsr Nellore,2018,3,322446,0
107,Andhra Pradesh,Vizianagaram,2018,3,203655,0
108,Andhra Pradesh,Ysr,2018,3,308391,0
109,Andhra Pradesh,West Godavari,2018,3,349782,0
110,Andhra Pradesh,Chittoor,2018,3,515727,0
111,Andhra Pradesh,East Godavari,2018,4,694455,0
112,Andhra Pradesh,Srikakulam,2018,4,284874,0
113,Andhra Pradesh,Visakhapatnam,2018,4,978288,0
114,Andhra Pradesh,Prakasam,2018,4,394962,0
115,Andhra Pradesh,Anantapur,2018,4,510892,0
116,Andhra Pradesh,Kurnool,2018,4,498582,0
117,Andhra Pradesh,Guntur,2018,4,659552,0
118,Andhra Pradesh,Krishna,2018,4,682479,0
119,Andhra Pradesh,Spsr Nellore,2018,4,407495,0
120,Andhra Pradesh,Vizianagaram,2018,4,257824,0
121,Andhra Pradesh,Ysr,2018,4,387058,0
122,Andhra Pradesh,West Godavari,2018,4,435668,0
123,Andhra Pradesh,Chittoor,2018,4,665280,0
124,Andhra Pradesh,East Godavari,2019,1,839277,0
125,Andhra Pradesh,Srikakulam,2019,1,345775,0
126,Andhra Pradesh,Visakhapatnam,2019,1,1174517,0
127,Andhra Pradesh,Prakasam,2019,1,474260,0
128,Andhra Pradesh,Anantapur,2019,1,612162,0
129,Andhra Pradesh,Kurnool,2019,1,599422,0
130,Andhra Pradesh,Guntur,2019,1,802394,0
131,Andhra Pradesh,Krishna,2019,1,833694,0
132,Andhra Pradesh,Spsr Nellore,2019,1,491908,0
133,Andhra Pradesh,Vizianagaram,2019,1,313334,0
134,Andhra Pradesh,Ysr,2019,1,460590,0
135,Andhra Pradesh,West Godavari,2019,1,523372,0
136,Andhra Pradesh,Chittoor,2019,1,812314,0
137,Andhra Pradesh,East Godavari,2019,2,945181,7156762
138,Andhra Pradesh,Srikakulam,2019,2,392764,3230330
139,Andhra Pradesh,Visakhapatnam,2019,2,1318740,13681907
140,Andhra Pradesh,Prakasam,2019,2,539462,4488365
141,Andhra Pradesh,Anantapur,2019,2,695114,6056591
142,Andhra Pradesh,Kurnool,2019,2,680118,6240480
143,Andhra Pradesh,Guntur,2019,2,915256,7268875
144,Andhra Pradesh,Krishna,2019,2,952300,7822632
145,Andhra Pradesh,Spsr Nellore,2019,2,558303,4774473
146,Andhra Pradesh,Vizianagaram,2019,2,355058,3541678
147,Andhra Pradesh,Ysr,2019,2,519031,4345848
148,Andhra Pradesh,West Godavari,2019,2,592185,3853094
149,Andhra Pradesh,Chittoor,2019,2,925491,8914216
