,State,District,Year,Quartar,Registered_Users,App_Open_Count
5392,Jammu & Kashmir,Kulgam,2018,2,8137,0
5393,Jammu & Kashmir,Budgam,2018,2,17809,0
5394,Jammu & Kashmir,Anantnag,2018,2,16373,0
5395,Jammu & Kashmir,Kupwara,2018,2,11482,0
5396,Jammu & Kashmir,Muzaffarabad,2018,3,89,0
5397,Jammu & Kashmir,Doda,2018,3,5618,0
5398,Jammu & Kashmir,Samba,2018,3,13304,0
5399,Jammu & Kashmir,Mirpur,2018,3,1133,0
5400,Jammu & Kashmir,Srinagar,2018,3,35583,0
5401,Jammu & Kashmir,Baramulla,2018,3,31069,0
5402,Jammu & Kashmir,Jammu,2018,3,86877,0
5403,Jammu & Kashmir,Ganderbal,2018,3,7627,0
5404,Jammu & Kashmir,Udhampur,2018,3,16058,0
5405,Jammu & Kashmir,Bandipore,2018,3,8792,0
5406,Jammu & Kashmir,Reasi,2018,3,7010,0
5407,Jammu & Kashmir,Shopian,2018,3,4698,0
5408,Jammu & Kashmir,Poonch,2018,3,6243,0
5409,Jammu & Kashmir,Kathua,2018,3,15849,0
5410,Jammu & Kashmir,Kishtwar,2018,3,2822,0
5411,Jammu & Kashmir,Pulwama,2018,3,15427,0
5412,Jammu & Kashmir,Ramban,2018,3,4202,0
5413,Jammu & Kashmir,Rajouri,2018,3,11534,0
5414,Jammu & Kashmir,Kulgam,2018,3,10305,0
5415,Jammu & Kashmir,Budgam,2018,3,22301,0
5416,Jammu & Kashmir,Anantnag,2018,3,20234,0
5417,Jammu & Kashmir,Kupwara,2018,3,15754,0
5418,Jammu & Kashmir,Muzaffarabad,2018,4,136,0
5419,Jammu & Kashmir,Doda,2018,4,7669,0
5420,Jammu & Kashmir,Samba,2018,4,17595,0
5421,Jammu & Kashmir,Mirpur,2018,4,1515,0
5422,Jammu & Kashmir,Srinagar,2018,4,44328,0
5423,Jammu & Kashmir,Baramulla,2018,4,37661,0
5424,Jammu & Kashmir,Jammu,2018,4,113005,0
5425,Jammu & Kashmir,Ganderbal,2018,4,9327,0
5426,Jammu & Kashmir,Udhampur,2018,4,21123,0
5427,Jammu & Kashmir,Bandipore,2018,4,10397,0
5428,Jammu & Kashmir,Reasi,2018,4,9290,0
5429,Jammu & Kashmir,Shopian,2018,4,5919,0
5430,Jammu & Kashmir,Poonch,2018,4,8555,0
5431,Jammu & Kashmir,Kathua,2018,4,21030,0
5432,Jammu & Kashmir,Kishtwar,2018,4,3753,0
5433,Jammu & Kashmir,Pulwama,2018,4,18846,0
5434,Jammu & Kashmir,Ramban,2018,4,5615,0
5435,Jammu & Kashmir,Rajouri,2018,4,15661,0
5436,Jammu & Kashmir,Kulgam,2018,4,12488,0
5437,Jammu & Kashmir,Budgam,2018,4,27710,0
5438,Jammu & Kashmir,Anantnag,2018,4,24448,0
5439,Jammu & Kashmir,Kupwara,2018,4,20492,0
5440,Jammu & Kashmir,Muzaffarabad,2019,1,170,0
5441,Jammu & Kashmir,Doda,2019,1,9896,0
5442,Jammu & Kashmir,Samba,2019,1,21495,0
5443,Jammu & Kashmir,Mirpur,2019,1,1891,0
5444,Jammu & Kashmir,Srinagar,2019,1,52762,0
5445,Jammu & Kashmir,Baramulla,2019,1,45150,0
5446,Jammu & Kashmir,Jammu,2019,1,134408,0
5447,Jammu & Kashmir,Ganderbal,2019,1,11236,0
5448,Jammu & Kashmir,Udhampur,2019,1,25515,0
5449,Jammu & Kashmir,Bandipore,2019,1,12419,0
5450,Jammu & Kashmir,Reasi,2019,1,11440,0
5451,Jammu & Kashmir,Shopian,2019,1,7625,0
5452,Jammu & Kashmir,Poonch,2019,1,10838,0
5453,Jammu & Kashmir,Kathua,2019,1,25620,0
5454,Jammu & Kashmir,Kishtwar,2019,1,4732,0
5455,Jammu & Kashmir,Pulwama,2019,1,23230,0
5456,Jammu & Kashmir,Ramban,2019,1,7125,0
5457,Jammu & Kashmir,Rajouri,2019,1,19212,0
5458,Jammu & Kashmir,Kulgam,2019,1,16003,0
5459,Jammu & Kashmir,Budgam,2019,1,34255,0
5460,Jammu & Kashmir,Anantnag,2019,1,30103,0
5461,Jammu & Kashmir,Kupwara,2019,1,25544,0
5462,Jammu & Kashmir,Muzaffarabad,2019,2,216,1171
5463,Jammu & Kashmir,Doda,2019,2,12220,53698
5464,Jammu & Kashmir,Samba,2019,2,25990,105880
5465,Jammu & Kashmir,Mirpur,2019,2,2250,13135
5466,Jammu & Kashmir,Srinagar,2019,2,62190,312300
5467,Jammu & Kashmir,Baramulla,2019,2,53196,212011
5468,Jammu & Kashmir,Jammu,2019,2,160241,581746
5469,Jammu & Kashmir,Ganderbal,2019,2,13224,73122
5470,Jammu & Kashmir,Udhampur,2019,2,29856,131187
5471,Jammu & Kashmir,Bandipore,2019,2,14951,65247
5472,Jammu & Kashmir,Reasi,2019,2,13784,72385
5473,Jammu & Kashmir,Shopian,2019,2,8946,37320
5474,Jammu & Kashmir,Poonch,2019,2,13450,69010
5475,Jammu & Kashmir,Kathua,2019,2,30602,122544
5476,Jammu & Kashmir,Kishtwar,2019,2,6001,27103
5477,Jammu & Kashmir,Pulwama,2019,2,27167,136747
5478,Jammu & Kashmir,Ramban,2019,2,8694,48805
5479,Jammu & Kashmir,Rajouri,2019,2,23118,103450
5480,Jammu & Kashmir,Kulgam,2019,2,18853,71690
5481,Jammu & Kashmir,Budgam,2019,2,39965,174075
5482,Jammu & Kashmir,Anantnag,2019,2,35488,140564
5483,Jammu & Kashmir,Kupwara,2019,2,30791,152183
5484,Jammu & Kashmir,Muzaffarabad,2019,3,207,1501
5485,Jammu & Kashmir,Doda,2019,3,12682,68944
5486,Jammu & Kashmir,Samba,2019,3,27579,160172
5487,Jammu & Kashmir,Mirpur,2019,3,2372,18542
5488,Jammu & Kashmir,Srinagar,2019,3,64758,386951
5489,Jammu & Kashmir,Baramulla,2019,3,54404,249467
5490,Jammu & Kashmir,Jammu,2019,3,169849,975045
5491,Jammu & Kashmir,Ganderbal,2019,3,13453,109345
5492,Jammu & Kashmir,Udhampur,2019,3,31297,204871
5493,Jammu & Kashmir,Bandipore,2019,3,15313,80343
5494,Jammu & Kashmir,Reasi,2019,3,14489,118236
5495,Jammu & Kashmir,Shopian,2019,3,9142,38069
5496,Jammu & Kashmir,Poonch,2019,3,14139,94475
5497,Jammu & Kashmir,Kathua,2019,3,32213,208424
5498,Jammu & Kashmir,Kishtwar,2019,3,6229,38662
5499,Jammu & Kashmir,Pulwama,2019,3,27963,176462
5500,Jammu & Kashmir,Ramban,2019,3,9065,75108
5501,Jammu & Kashmir,Rajouri,2019,3,24275,147846
5502,Jammu & Kashmir,Kulgam,2019,3,19220,80917
5503,Jammu & Kashmir,Budgam,2019,3,41004,208701
5504,Jammu & Kashmir,Anantnag,2019,3,36371,207023
5505,Jammu & Kashmir,Kupwara,2019,3,32431,194815
5506,Jammu & Kashmir,Muzaffarabad,2019,4,223,31
5507,Jammu & Kashmir,Doda,2019,4,13016,14365
5508,Jammu & Kashmir,Samba,2019,4,28333,59968
5509,Jammu & Kashmir,Mirpur,2019,4,2521,3319
5510,Jammu & Kashmir,Srinagar,2019,4,65611,28258
5511,Jammu & Kashmir,Baramulla,2019,4,55042,6479
5512,Jammu & Kashmir,Jammu,2019,4,174858,486244
5513,Jammu & Kashmir,Ganderbal,2019,4,13506,4644
5514,Jammu & Kashmir,Udhampur,2019,4,32252,79671
5515,Jammu & Kashmir,Bandipore,2019,4,15366,2312
5516,Jammu & Kashmir,Reasi,2019,4,15021,61611
5517,Jammu & Kashmir,Shopian,2019,4,9308,1093
5518,Jammu & Kashmir,Poonch,2019,4,14810,19155
5519,Jammu & Kashmir,Kathua,2019,4,33481,128868
5520,Jammu & Kashmir,Kishtwar,2019,4,6397,9507
5521,Jammu & Kashmir,Pulwama,2019,4,28336,9905
5522,Jammu & Kashmir,Ramban,2019,4,9304,14758
5523,Jammu & Kashmir,Rajouri,2019,4,25297,42098
5524,Jammu & Kashmir,Kulgam,2019,4,19304,1847
5525,Jammu & Kashmir,Budgam,2019,4,41377,14190
5526,Jammu & Kashmir,Anantnag,2019,4,36725,4724
5527,Jammu & Kashmir,Kupwara,2019,4,33279,5525
5528,Jammu & Kashmir,Muzaffarabad,2020,1,240,1138
5529,Jammu & Kashmir,Doda,2020,1,14537,88134
5530,Jammu & Kashmir,Samba,2020,1,31570,209115
5531,Jammu & Kashmir,Mirpur,2020,1,2835,23464
5532,Jammu & Kashmir,Srinagar,2020,1,70755,383851
5533,Jammu & Kashmir,Baramulla,2020,1,59123,288334
5534,Jammu & Kashmir,Jammu,2020,1,191031,1199860
5535,Jammu & Kashmir,Ganderbal,2020,1,14573,80254
5536,Jammu & Kashmir,Udhampur,2020,1,35408,262540
5537,Jammu & Kashmir,Bandipore,2020,1,16451,83494
5538,Jammu & Kashmir,Reasi,2020,1,16592,136328
5539,Jammu & Kashmir,Shopian,2020,1,10313,57817
5540,Jammu & Kashmir,Poonch,2020,1,16495,115169
5541,Jammu & Kashmir,Kathua,2020,1,37300,272391
5542,Jammu & Kashmir,Kishtwar,2020,1,7124,49904
5543,Jammu & Kashmir,Pulwama,2020,1,30796,200550
5544,Jammu & Kashmir,Ramban,2020,1,10267,83488
5545,Jammu & Kashmir,Rajouri,2020,1,28089,187260
5546,Jammu & Kashmir,Kulgam,2020,1,21070,96392
5547,Jammu & Kashmir,Budgam,2020,1,44636,248728
5548,Jammu & Kashmir,Anantnag,2020,1,39513,175619
5549,Jammu & Kashmir,Kupwara,2020,1,36690,233064
5550,Jammu & Kashmir,Muzaffarabad,2020,2,266,3534
5551,Jammu & Kashmir,Doda,2020,2,17896,262998
5552,Jammu & Kashmir,Samba,2020,2,37600,470714
5553,Jammu & Kashmir,Mirpur,2020,2,3522,72639
5554,Jammu & Kashmir,Srinagar,2020,2,78458,825852
5555,Jammu & Kashmir,Baramulla,2020,2,66095,677212
5556,Jammu & Kashmir,Jammu,2020,2,220805,2351890
5557,Jammu & Kashmir,Ganderbal,2020,2,16213,180300
5558,Jammu & Kashmir,Udhampur,2020,2,41813,587211
5559,Jammu & Kashmir,Bandipore,2020,2,18357,186996
5560,Jammu & Kashmir,Reasi,2020,2,19514,228746
5561,Jammu & Kashmir,Shopian,2020,2,11870,123790
5562,Jammu & Kashmir,Poonch,2020,2,19815,319509
5563,Jammu & Kashmir,Kathua,2020,2,44719,562924
5564,Jammu & Kashmir,Kishtwar,2020,2,8584,124258
5565,Jammu & Kashmir,Pulwama,2020,2,34565,434688
5566,Jammu & Kashmir,Ramban,2020,2,12068,183807
5567,Jammu & Kashmir,Rajouri,2020,2,33389,494580
5568,Jammu & Kashmir,Kulgam,2020,2,23505,216052
5569,Jammu & Kashmir,Budgam,2020,2,49962,560896
5570,Jammu & Kashmir,Anantnag,2020,2,44423,413847
5571,Jammu & Kashmir,Kupwara,2020,2,41855,574210
5572,Jammu & Kashmir,Muzaffarabad,2020,3,304,6388
5573,Jammu & Kashmir,Doda,2020,3,20833,287357
5574,Jammu & Kashmir,Samba,2020,3,42915,522691
5575,Jammu & Kashmir,Mirpur,2020,3,4128,70985
5576,Jammu & Kashmir,Srinagar,2020,3,87182,1051310
5577,Jammu & Kashmir,Baramulla,2020,3,73162,811950
5578,Jammu & Kashmir,Jammu,2020,3,248814,2720674
5579,Jammu & Kashmir,Ganderbal,2020,3,18259,225894
5580,Jammu & Kashmir,Udhampur,2020,3,47399,661207
5581,Jammu & Kashmir,Bandipore,2020,3,20153,223661
5582,Jammu & Kashmir,Reasi,2020,3,22063,243175
5583,Jammu & Kashmir,Shopian,2020,3,13294,160453
5584,Jammu & Kashmir,Poonch,2020,3,22704,342181
5585,Jammu & Kashmir,Kathua,2020,3,50914,593205
5586,Jammu & Kashmir,Kishtwar,2020,3,9745,126649
5587,Jammu & Kashmir,Pulwama,2020,3,38434,514441
5588,Jammu & Kashmir,Ramban,2020,3,13674,196197
5589,Jammu & Kashmir,Rajouri,2020,3,38071,557098
5590,Jammu & Kashmir,Kulgam,2020,3,25887,249487
5591,Jammu & Kashmir,Budgam,2020,3,55153,667385
5592,Jammu & Kashmir,Anantnag,2020,3,49443,501949
5593,Jammu & Kashmir,Kupwara,2020,3,47288,709117
5594,Jammu & Kashmir,Muzaffarabad,2020,4,339,9273
5595,Jammu & Kashmir,Doda,2020,4,24095,352491
5596,Jammu & Kashmir,Samba,2020,4,48775,710801
5597,Jammu & Kashmir,Mirpur,2020,4,4799,87362
5598,Jammu & Kashmir,Srinagar,2020,4,98923,1535006
5599,Jammu & Kashmir,Baramulla,2020,4,83119,1261348
5600,Jammu & Kashmir,Jammu,2020,4,282463,3834866
5601,Jammu & Kashmir,Ganderbal,2020,4,20465,288341
5602,Jammu & Kashmir,Udhampur,2020,4,53803,864317
5603,Jammu & Kashmir,Bandipore,2020,4,22721,335472
5604,Jammu & Kashmir,Reasi,2020,4,25147,358570
5605,Jammu & Kashmir,Shopian,2020,4,15234,234965
5606,Jammu & Kashmir,Poonch,2020,4,26045,423011
5607,Jammu & Kashmir,Kathua,2020,4,57651,817085
5608,Jammu & Kashmir,Kishtwar,2020,4,11233,171549
5609,Jammu & Kashmir,Pulwama,2020,4,43139,712775
5610,Jammu & Kashmir,Ramban,2020,4,15548,266848
5611,Jammu & Kashmir,Rajouri,2020,4,43240,690479
5612,Jammu & Kashmir,Kulgam,2020,4,29261,375598
5613,Jammu & Kashmir,Budgam,2020,4,62364,940572
5614,Jammu & Kashmir,Anantnag,2020,4,56211,775396
5615,Jammu & Kashmir,Kupwara,2020,4,54447,972626
5616,Jammu & Kashmir,Muzaffarabad,2021,1,377,9533
5617,Jammu & Kashmir,Doda,2021,1,26460,385972
5618,Jammu & Kashmir,Samba,2021,1,53123,846106
5619,Jammu & Kashmir,Mirpur,2021,1,5198,91729
5620,Jammu & Kashmir,Srinagar,2021,1,107147,1800718
5621,Jammu & Kashmir,Baramulla,2021,1,90607,1419562
5622,Jammu & Kashmir,Jammu,2021,1,307670,4748576
5623,Jammu & Kashmir,Ganderbal,2021,1,22249,307343
5624,Jammu & Kashmir,Udhampur,2021,1,58664,1005055
5625,Jammu & Kashmir,Bandipore,2021,1,24662,380806
5626,Jammu & Kashmir,Reasi,2021,1,27524,560191
5627,Jammu & Kashmir,Shopian,2021,1,16657,257342
5628,Jammu & Kashmir,Poonch,2021,1,28300,438878
5629,Jammu & Kashmir,Kathua,2021,1,62777,999489
5630,Jammu & Kashmir,Kishtwar,2021,1,12235,192499
5631,Jammu & Kashmir,Pulwama,2021,1,46731,822230
5632,Jammu & Kashmir,Ramban,2021,1,16907,314751
5633,Jammu & Kashmir,Rajouri,2021,1,47092,761083
5634,Jammu & Kashmir,Kulgam,2021,1,31882,413955
5635,Jammu & Kashmir,Budgam,2021,1,67920,1094310
5636,Jammu & Kashmir,Anantnag,2021,1,61151,943863
5637,Jammu & Kashmir,Kupwara,2021,1,59485,1040018
5638,Jammu & Kashmir,Muzaffarabad,2021,2,416,140975
5639,Jammu & Kashmir,Doda,2021,2,28542,1668531
5640,Jammu & Kashmir,Samba,2021,2,57066,1261847
5641,Jammu & Kashmir,Mirpur,2021,2,5662,519745
5642,Jammu & Kashmir,Srinagar,2021,2,114498,1723018
5643,Jammu & Kashmir,Baramulla,2021,2,97258,2275167
5644,Jammu & Kashmir,Jammu,2021,2,329625,5307827
5645,Jammu & Kashmir,Ganderbal,2021,2,23884,732103
5646,Jammu & Kashmir,Udhampur,2021,2,63296,2284672
5647,Jammu & Kashmir,Bandipore,2021,2,26435,753955
5648,Jammu & Kashmir,Reasi,2021,2,29716,1517492
5649,Jammu & Kashmir,Shopian,2021,2,17933,458734
5650,Jammu & Kashmir,Poonch,2021,2,30575,1527433
5651,Jammu & Kashmir,Kathua,2021,2,67569,2554198
5652,Jammu & Kashmir,Kishtwar,2021,2,13206,1464466
5653,Jammu & Kashmir,Pulwama,2021,2,50038,1135519
5654,Jammu & Kashmir,Ramban,2021,2,18253,999598
5655,Jammu & Kashmir,Rajouri,2021,2,50772,2055898
5656,Jammu & Kashmir,Kulgam,2021,2,34224,770338
5657,Jammu & Kashmir,Budgam,2021,2,72750,1261253
5658,Jammu & Kashmir,Anantnag,2021,2,65592,1762005
5659,Jammu & Kashmir,Kupwara,2021,2,63957,2099785
5660,Jammu & Kashmir,Muzaffarabad,2021,3,454,277152
5661,Jammu & Kashmir,Doda,2021,3,30988,2156305
5662,Jammu & Kashmir,Samba,2021,3,61677,1647183
5663,Jammu & Kashmir,Mirpur,2021,3,6201,741299
5664,Jammu & Kashmir,Srinagar,2021,3,122752,2116162
5665,Jammu & Kashmir,Baramulla,2021,3,104763,2926151
5666,Jammu & Kashmir,Jammu,2021,3,354280,7100607
5667,Jammu & Kashmir,Ganderbal,2021,3,25735,1207298
5668,Jammu & Kashmir,Udhampur,2021,3,68452,2608312
5669,Jammu & Kashmir,Bandipore,2021,3,28469,1139504
5670,Jammu & Kashmir,Reasi,2021,3,32275,2111256
5671,Jammu & Kashmir,Shopian,2021,3,19343,542538
5672,Jammu & Kashmir,Poonch,2021,3,33277,2129714
5673,Jammu & Kashmir,Kathua,2021,3,73280,3107994
5674,Jammu & Kashmir,Kishtwar,2021,3,14320,1885750
5675,Jammu & Kashmir,Pulwama,2021,3,53876,1519762
5676,Jammu & Kashmir,Ramban,2021,3,19751,1301613
5677,Jammu & Kashmir,Rajouri,2021,3,55013,2580630
5678,Jammu & Kashmir,Kulgam,2021,3,36921,956967
5679,Jammu & Kashmir,Budgam,2021,3,78298,1548150
5680,Jammu & Kashmir,Anantnag,2021,3,70633,2364289
5681,Jammu & Kashmir,Kupwara,2021,3,69102,3056561
5682,Jammu & Kashmir,Muzaffarabad,2021,4,506,22752
5683,Jammu & Kashmir,Doda,2021,4,33427,846302
5684,Jammu & Kashmir,Samba,2021,4,66057,1804895
5685,Jammu & Kashmir,Mirpur,2021,4,6709,171174
5686,Jammu & Kashmir,Srinagar,2021,4,130968,2897946
5687,Jammu & Kashmir,Baramulla,2021,4,112175,2592259
5688,Jammu & Kashmir,Jammu,2021,4,378618,8499645
5689,Jammu & Kashmir,Ganderbal,2021,4,27599,699275
5690,Jammu & Kashmir,Udhampur,2021,4,73525,2166683
5691,Jammu & Kashmir,Bandipore,2021,4,30502,782430
5692,Jammu & Kashmir,Reasi,2021,4,34767,1115094
5693,Jammu & Kashmir,Shopian,2021,4,20780,528874
5694,Jammu & Kashmir,Poonch,2021,4,35913,914840
5695,Jammu & Kashmir,Kathua,2021,4,78693,1976525
5696,Jammu & Kashmir,Kishtwar,2021,4,15389,430915
5697,Jammu & Kashmir,Pulwama,2021,4,57630,1470314
5698,Jammu & Kashmir,Ramban,2021,4,21283,726042
5699,Jammu & Kashmir,Rajouri,2021,4,59304,1466839
5700,Jammu & Kashmir,Kulgam,2021,4,39481,885164
5701,Jammu & Kashmir,Budgam,2021,4,83726,2099845
5702,Jammu & Kashmir,Anantnag,2021,4,75622,1791477
5703,Jammu & Kashmir,Kupwara,2021,4,74136,2122858
5704,Jammu & Kashmir,Muzaffarabad,2022,1,540,480972
5705,Jammu & Kashmir,Doda,2022,1,35680,3731468
5706,Jammu & Kashmir,Samba,2022,1,70288,2419072
5707,Jammu & Kashmir,Mirpur,2022,1,7177,1274287
5708,Jammu & Kashmir,Srinagar,2022,1,138727,1353992
5709,Jammu & Kashmir,Baramulla,2022,1,119475,3187493
5710,Jammu & Kashmir,Jammu,2022,1,401675,7369217
5711,Jammu & Kashmir,Ganderbal,2022,1,29427,1086867
5712,Jammu & Kashmir,Udhampur,2022,1,78353,4561115
5713,Jammu & Kashmir,Bandipore,2022,1,32427,1906499
5714,Jammu & Kashmir,Reasi,2022,1,37052,4089782
5715,Jammu & Kashmir,Shopian,2022,1,22173,601448
5716,Jammu & Kashmir,Poonch,2022,1,38315,3572503
5717,Jammu & Kashmir,Kathua,2022,1,83944,6051993
5718,Jammu & Kashmir,Kishtwar,2022,1,16418,3226678
5719,Jammu & Kashmir,Pulwama,2022,1,61306,1541606
5720,Jammu & Kashmir,Ramban,2022,1,22686,1936558
5721,Jammu & Kashmir,Rajouri,2022,1,63232,5359687
5722,Jammu & Kashmir,Kulgam,2022,1,42103,973922
5723,Jammu & Kashmir,Budgam,2022,1,88994,1081801
5724,Jammu & Kashmir,Anantnag,2022,1,80434,2235395
5725,Jammu & Kashmir,Kupwara,2022,1,78894,4073502
5726,Jammu & Kashmir,Muzaffarabad,2022,2,569,721831
5727,Jammu & Kashmir,Doda,2022,2,37779,5377569
5728,Jammu & Kashmir,Samba,2022,2,74186,3213482
5729,Jammu & Kashmir,Mirpur,2022,2,7601,1968657
5730,Jammu & Kashmir,Srinagar,2022,2,146169,1914232
5731,Jammu & Kashmir,Baramulla,2022,2,126067,4922259
5732,Jammu & Kashmir,Jammu,2022,2,423398,8926803
5733,Jammu & Kashmir,Ganderbal,2022,2,31111,3377275
5734,Jammu & Kashmir,Udhampur,2022,2,82705,6195826
5735,Jammu & Kashmir,Bandipore,2022,2,34244,2602119
5736,Jammu & Kashmir,Reasi,2022,2,39173,5696031
5737,Jammu & Kashmir,Shopian,2022,2,23465,810291
5738,Jammu & Kashmir,Poonch,2022,2,40606,4672381
5739,Jammu & Kashmir,Kathua,2022,2,88764,7935788
5740,Jammu & Kashmir,Kishtwar,2022,2,17326,4072235
5741,Jammu & Kashmir,Pulwama,2022,2,64808,2295579
5742,Jammu & Kashmir,Ramban,2022,2,24052,3050908
5743,Jammu & Kashmir,Rajouri,2022,2,66893,7456466
5744,Jammu & Kashmir,Kulgam,2022,2,44393,1545241
5745,Jammu & Kashmir,Budgam,2022,2,93893,1869838
5746,Jammu & Kashmir,Anantnag,2022,2,84898,4586304
5747,Jammu & Kashmir,Kupwara,2022,2,83470,6775195
5748,Jammu & Kashmir,Muzaffarabad,2022,3,592,952229
5749,Jammu & Kashmir,Doda,2022,3,39659,6978827
5750,Jammu & Kashmir,Samba,2022,3,78092,4267809
5751,Jammu & Kashmir,Mirpur,2022,3,7926,1829119
5752,Jammu & Kashmir,Srinagar,2022,3,153729,1647570
5753,Jammu & Kashmir,Baramulla,2022,3,132526,5517125
5754,Jammu & Kashmir,Jammu,2022,3,445345,11603149
5755,Jammu & Kashmir,Ganderbal,2022,3,32688,5505482
5756,Jammu & Kashmir,Udhampur,2022,3,86915,6912898
5757,Jammu & Kashmir,Bandipore,2022,3,36029,2922097
5758,Jammu & Kashmir,Reasi,2022,3,41108,6290088
5759,Jammu & Kashmir,Shopian,2022,3,24676,1040961
5760,Jammu & Kashmir,Poonch,2022,3,42653,5618116
5761,Jammu & Kashmir,Kathua,2022,3,93084,8200860
5762,Jammu & Kashmir,Kishtwar,2022,3,18168,4965859
5763,Jammu & Kashmir,Pulwama,2022,3,68004,2763346
5764,Jammu & Kashmir,Ramban,2022,3,25296,3925846
5765,Jammu & Kashmir,Rajouri,2022,3,70231,8425068
5766,Jammu & Kashmir,Kulgam,2022,3,46715,1705069
5767,Jammu & Kashmir,Budgam,2022,3,98698,2099049
5768,Jammu & Kashmir,Anantnag,2022,3,89184,8191712
5769,Jammu & Kashmir,Kupwara,2022,3,87867,7983956
5770,Jammu & Kashmir,Muzaffarabad,2022,4,598,50129
5771,Jammu & Kashmir,Doda,2022,4,41227,1620662
5772,Jammu & Kashmir,Samba,2022,4,81447,3159821
5773,Jammu & Kashmir,Mirpur,2022,4,8110,282243
5774,Jammu & Kashmir,Srinagar,2022,4,160924,4284704
5775,Jammu & Kashmir,Baramulla,2022,4,138215,4050435
5776,Jammu & Kashmir,Jammu,2022,4,465635,14015838
5777,Jammu & Kashmir,Ganderbal,2022,4,34020,1093714
5778,Jammu & Kashmir,Udhampur,2022,4,90677,3588426
5779,Jammu & Kashmir,Bandipore,2022,4,37554,1187600
5780,Jammu & Kashmir,Reasi,2022,4,42686,1985389
5781,Jammu & Kashmir,Shopian,2022,4,25639,1040648
5782,Jammu & Kashmir,Poonch,2022,4,44253,1667445
5783,Jammu & Kashmir,Kathua,2022,4,96688,3532478
5784,Jammu & Kashmir,Kishtwar,2022,4,18904,928136
5785,Jammu & Kashmir,Pulwama,2022,4,70875,2201068
5786,Jammu & Kashmir,Ramban,2022,4,26335,1386458
5787,Jammu & Kashmir,Rajouri,2022,4,72921,2562701
5788,Jammu & Kashmir,Kulgam,2022,4,48872,1582267
5789,Jammu & Kashmir,Budgam,2022,4,103056,3084965
5790,Jammu & Kashmir,Anantnag,2022,4,93107,3151558
5791,Jammu & Kashmir,Kupwara,2022,4,91691,3749180
5792,Jammu & Kashmir,Muzaffarabad,2023,1,622,1000008
5793,Jammu & Kashmir,Doda,2023,1,43097,11147268
5794,Jammu & Kashmir,Samba,2023,1,85114,4890989
5795,Jammu & Kashmir,Mirpur,2023,1,8495,2786174
5796,Jammu & Kashmir,Srinagar,2023,1,167765,1977179
5797,Jammu & Kashmir,Baramulla,2023,1,144514,6961193
5798,Jammu & Kashmir,Jammu,2023,1,485903,17150597
5799,Jammu & Kashmir,Ganderbal,2023,1,35514,2023040
5800,Jammu & Kashmir,Udhampur,2023,1,94792,11747882
5801,Jammu & Kashmir,Bandipore,2023,1,39106,2724864
5802,Jammu & Kashmir,Reasi,2023,1,44602,8133522
5803,Jammu & Kashmir,Shopian,2023,1,26874,1553342
5804,Jammu & Kashmir,Poonch,2023,1,46382,7586998
5805,Jammu & Kashmir,Kathua,2023,1,100962,12383545
5806,Jammu & Kashmir,Kishtwar,2023,1,19740,6574667
5807,Jammu & Kashmir,Pulwama,2023,1,74016,3500620
5808,Jammu & Kashmir,Ramban,2023,1,27571,4925109
5809,Jammu & Kashmir,Rajouri,2023,1,76256,10780591
5810,Jammu & Kashmir,Kulgam,2023,1,51100,1477596
5811,Jammu & Kashmir,Budgam,2023,1,107555,2252134
5812,Jammu & Kashmir,Anantnag,2023,1,97227,5022207
5813,Jammu & Kashmir,Kupwara,2023,1,95832,8229186
5814,Jammu & Kashmir,Muzaffarabad,2023,2,662,1797035
5815,Jammu & Kashmir,Doda,2023,2,45198,14803755
5816,Jammu & Kashmir,Samba,2023,2,88654,7451923
5817,Jammu & Kashmir,Mirpur,2023,2,8965,3302134
5818,Jammu & Kashmir,Srinagar,2023,2,174167,4390729
5819,Jammu & Kashmir,Baramulla,2023,2,150753,13182607
5820,Jammu & Kashmir,Jammu,2023,2,504935,21998444
5821,Jammu & Kashmir,Ganderbal,2023,2,37109,5938343
5822,Jammu & Kashmir,Udhampur,2023,2,98918,14432069
5823,Jammu & Kashmir,Bandipore,2023,2,40834,5945066
5824,Jammu & Kashmir,Reasi,2023,2,46697,12126106
5825,Jammu & Kashmir,Shopian,2023,2,28192,2327470
5826,Jammu & Kashmir,Poonch,2023,2,48610,14965536
5827,Jammu & Kashmir,Kathua,2023,2,105650,16685906
5828,Jammu & Kashmir,Kishtwar,2023,2,20624,8082588
5829,Jammu & Kashmir,Pulwama,2023,2,77212,6621358
5830,Jammu & Kashmir,Ramban,2023,2,28867,9065962
5831,Jammu & Kashmir,Rajouri,2023,2,79836,14149295
5832,Jammu & Kashmir,Kulgam,2023,2,53421,3660631
5833,Jammu & Kashmir,Budgam,2023,2,112096,5764744
5834,Jammu & Kashmir,Anantnag,2023,2,101512,9456616
5835,Jammu & Kashmir,Kupwara,2023,2,100220,13100824
5836,Jammu & Kashmir,Muzaffarabad,2023,3,689,2388963
5837,Jammu & Kashmir,Doda,2023,3,47141,18908548
5838,Jammu & Kashmir,Samba,2023,3,92315,8671389
5839,Jammu & Kashmir,Mirpur,2023,3,9360,11247923
5840,Jammu & Kashmir,Srinagar,2023,3,180872,2136209
5841,Jammu & Kashmir,Baramulla,2023,3,156673,23933296
5842,Jammu & Kashmir,Jammu,2023,3,524726,20471797
